,,,,,
Inf,Rec,Club,División,Juega en,Nombre
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Real Irún,Primera División Federación A española,ESP,- -
Ced,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Linares,Primera División Federación B española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
Seg,- - -,Valencia,Primera División española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Villarreal B,Segunda División española,ESP,- -
,- - -,Marbella,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
Opc,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Navalcarnero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valladolid B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
Seg,- - -,Atlético Pamplona,Primera División española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Granada B,Primera División Federación B española,ESP,- -
Juv,- - -,Tarragona,Primera División Federación A española,ESP,- -
,- - -,A. Bilbao B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Ctr,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Getafe,Primera División española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
Ctr,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
,- - -,Valladolid B,Segunda División Federación Grupo 1 española,ESP,- -
Les,- - -,Antequera,Primera División Federación B española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
Juv,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Arenteiro,Primera División Federación A española,ESP,- -
,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,A. Bilbao,Primera División española,ESP,- -
Les,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,S. Gijón,Segunda División española,ESP,- -
,- - -,Coruxo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
Les,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,A. Bilbao B,Segunda División Federación Grupo 2 española,ESP,- -
Int,- - -,Barcelona,Primera División española,ESP,- -
Seg,- - -,Villarreal B,Segunda División española,ESP,- -
,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Egüés,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Real San Sebastián,Primera División española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,A. Getxo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Cayón,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Murcia,Primera División Federación B española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
Les,- - -,Alcorcón,Segunda División española,ESP,- -
Juv,- - -,Levante,Segunda División española,ESP,- -
Les,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
Fic,- - -,Huelva,Primera División Federación B española,ESP,- -
Juv,- - -,Leganés,Segunda División española,ESP,- -
Juv,- - -,Alcoyano,Primera División Federación B española,ESP,- -
Juv,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Oviedo B,Segunda División Federación Grupo 1 española,ESP,- -
Ced,- - -,Vigo B,Primera División Federación A española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Unionistas,Primera División Federación A española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
Fic,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
Ctr,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,S. Gijón,Segunda División española,ESP,- -
Juv,- - -,Granada,Primera División española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,Mensajero,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Vigo,Primera División española,ESP,- -
Seg,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Coruña,Primera División Federación A española,ESP,- -
Seg,- - -,Intercity,Primera División Federación B española,ESP,- -
Les,- - -,Zaragoza,Segunda División española,ESP,- -
Seg,- - -,Cartagena,Segunda División española,ESP,- -
Juv,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Lleida,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Marino,Segunda División Federación Grupo 1 española,ESP,- -
Int,- - -,Valencia,Primera División española,ESP,- -
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,A. Madrid,Primera División española,ESP,- -
Ofer,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
Ret,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,S.D. Logroñés,Primera División Federación A española,ESP,- -
Seg,- - -,Tarragona,Primera División Federación A española,ESP,- -
Seg,- - -,Sestao,Primera División Federación A española,ESP,- -
Seg,- - -,Girona,Primera División española,ESP,- -
Seg,- - -,A. Baleares,Primera División Federación B española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Amorebieta,Segunda División española,ESP,- -
Juv,- - -,Alavés,Primera División española,ESP,- -
,- - -,A. Bilbao B,Segunda División Federación Grupo 2 española,ESP,- -
Juv,- - -,Málaga,Primera División Federación B española,ESP,- -
Juv,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,Cartagena B,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,A. Madrid,Primera División española,ESP,- -
Seg,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Alavés,Primera División española,ESP,- -
,- - -,Manresa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Alcorcón,Segunda División española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Les,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Villanovense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,Arandina,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Sevilla,Primera División española,ESP,- -
Juv,- - -,Eldense,Segunda División española,ESP,- -
,- - -,A. Sagunto,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Barbastro,Segunda División Federación Grupo 2 española,ESP,- -
Ced,- - -,Zaragoza,Segunda División española,ESP,- -
,- - -,Granada B,Primera División Federación B española,ESP,- -
Seg,- - -,R. Majadahonda,Primera División Federación A española,ESP,- -
Juv,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Ourense C.F.,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Vélez C.F.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Valladolid B,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Córdoba,Primera División Federación B española,ESP,- -
Juv,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
Ret,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
Pet,- - -,Mirandés,Segunda División española,ESP,- -
Juv,- - -,Alavés,Primera División española,ESP,- -
,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Juv,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Leganés,Segunda División española,ESP,- -
Juv,- - -,Getafe,Primera División española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
Opc,- - -,Unionistas,Primera División Federación A española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Alcoyano,Primera División Federación B española,ESP,- -
Juv,- - -,Unionistas,Primera División Federación A española,ESP,- -
,- - -,Utebo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
Pet,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Ofer,- - -,Córdoba,Primera División Federación B española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
Ret,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Oviedo,Segunda División española,ESP,- -
Juv,- - -,R. Madrid,Primera División española,ESP,- -
Juv,- - -,Ferrol,Segunda División española,ESP,- -
,- - -,Espanyol,Segunda División española,ESP,- -
Juv,- - -,Badalona Fut,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Linense,Segunda División Federación Grupo 4 española,ESP,- -
Ced,- - -,Leganés,Segunda División española,ESP,- -
Juv,- - -,Europa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
Seg,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Eldense,Segunda División española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Vigo B,Primera División Federación A española,ESP,- -
,- - -,Terrassa,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
Seg,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Atlético Pamplona B,Primera División Federación A española,ESP,- -
Opc,- - -,Ferrol,Segunda División española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Les,- - -,Tenerife,Segunda División española,ESP,- -
,- - -,Logroñés,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Ursaria,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Segoviana,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Valladolid,Segunda División española,ESP,- -
Seg,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Lugo,Primera División Federación A española,ESP,- -
,- - -,Mutilvera,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Villarreal,Primera División española,ESP,- -
,- - -,Eldense,Segunda División española,ESP,- -
Pet,- - -,R. Santander B,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Elche,Segunda División española,ESP,- -
Juv,- - -,Huelva,Primera División Federación B española,ESP,- -
Juv,- - -,S. Gijón,Segunda División española,ESP,- -
Juv,- - -,Huesca,Segunda División española,ESP,- -
Juv,- - -,Vallecano,Primera División española,ESP,- -
Juv,- - -,Melilla,Primera División Federación B española,ESP,- -
Juv,- - -,R. Madrid,Primera División española,ESP,- -
Juv,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
Juv,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,San Fernando,Primera División Federación B española,ESP,- -
,- - -,Real Irún,Primera División Federación A española,ESP,- -
,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,U. Murcia,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Pontevedra,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Intercity,Primera División Federación B española,ESP,- -
Juv,- - -,Murcia,Primera División Federación B española,ESP,- -
,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Ibiza,Primera División Federación B española,ESP,- -
,- - -,Getafe B,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valencia B,Segunda División Federación Grupo 3 española,ESP,- -
Ret,- - -,R. Madrid,Primera División española,ESP,- -
Les,- - -,El Palo,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Talavera,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Cacereño,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Formentera,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Sant Andreu,Segunda División Federación Grupo 3 española,ESP,- -
Ofer,- - -,Ceuta,Primera División Federación B española,ESP,- -
Juv,- - -,Sabadell,Primera División Federación A española,ESP,- -
,- - -,Badajoz,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Intercity,Primera División Federación B española,ESP,- -
Ret,- - -,Lugo,Primera División Federación A española,ESP,- -
Seg,- - -,Compostela,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,La Unión At.,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,R. Madrid,Primera División española,ESP,- -
,- - -,Guijuelo,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Leganés,Segunda División española,ESP,- -
Juv,- - -,Águilas,Segunda División Federación Grupo 4 española,ESP,- -
Seg,- - -,Cartagena,Segunda División española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Leganés,Segunda División española,ESP,- -
,- - -,Náxara,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Sanluqueño,Primera División Federación B española,ESP,- -
Juv,- - -,Real Hispalis,Primera División española,ESP,- -
,- - -,Langreo,Segunda División Federación Grupo 1 española,ESP,- -
Ced,- - -,Zaragoza B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Intercity,Primera División Federación B española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Algeciras,Primera División Federación B española,ESP,- -
,- - -,U.D. San Fernando,Segunda División Federación Grupo 5 española,ESP,- -
Des,- - -,R. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Zamora,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Sevilla B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sanse,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,Yeclano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Mérida,Primera División Federación B española,ESP,- -
,- - -,Sevilla,Primera División española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Marbella,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,U. Adarve,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Penya Independent,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
Seg,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Alavés B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
Seg,- - -,Málaga,Primera División Federación B española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,A. Baleares,Primera División Federación B española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Montijo,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Granada B,Primera División Federación B española,ESP,- -
,- - -,San Roque de Lepe,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Avilés,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Girona,Primera División española,ESP,- -
,- - -,Real Hispalis B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Illescas,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
Seg,- - -,Espanyol,Segunda División española,ESP,- -
,- - -,Valencia,Primera División española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
,- - -,Linares,Primera División Federación B española,ESP,- -
Seg,- - -,Ferrol,Segunda División española,ESP,- -
Seg,- - -,Las Palmas,Primera División española,ESP,- -
Juv,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Albacete,Segunda División española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Cádiz,Primera División española,ESP,- -
,- - -,F.C. Andorra,Segunda División española,ESP,- -
Seg,- - -,Atlético Paso,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Cerdanyola,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
,- - -,Ciudad Real,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Sestao,Primera División Federación A española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,Getafe,Primera División española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
Fic,- - -,Alavés B,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Llerenense,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Valladolid,Segunda División española,ESP,- -
Ofer,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,H. Alicante,Segunda División Federación Grupo 3 española,ESP,- -
Ced,- - -,Almería,Primera División española,ESP,- -
Fic,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Vigo,Primera División española,ESP,- -
,- - -,Andratx,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Vallecano,Primera División española,ESP,- -
,- - -,Alavés,Primera División española,ESP,- -
Ret,- - -,Cornellà,Primera División Federación A española,ESP,- -
,- - -,Cádiz B,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Girona,Primera División española,ESP,- -
,- - -,Leonesa,Primera División Federación A española,ESP,- -
,- - -,Las Palmas,Primera División española,ESP,- -
,- - -,Espanyol B,Segunda División Federación Grupo 3 española,ESP,- -
Ofer,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Barcelona,Primera División española,ESP,- -
,- - -,Barcelona B,Primera División Federación A española,ESP,- -
,- - -,Levante,Segunda División española,ESP,- -
,- - -,Melilla,Primera División Federación B española,ESP,- -
Les,- - -,Tarazona,Primera División Federación A española,ESP,- -
Les,- - -,Mallorca,Primera División española,ESP,- -
,- - -,Valladolid B,Segunda División Federación Grupo 1 española,ESP,- -
Int,- - -,A. Madrid,Primera División española,ESP,- -
Seg,- - -,Almería,Primera División española,ESP,- -
,- - -,Orihuela,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Huesca,Segunda División española,ESP,- -
,- - -,Tarazona,Primera División Federación A española,ESP,- -
,- - -,A. Bilbao,Primera División española,ESP,- -
Seg,- - -,Real San Sebastián,Primera División española,ESP,- -
Les,- - -,Barcelona,Primera División española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
,- - -,Cádiz,Primera División española,ESP,- -
,- - -,Torrent,Segunda División Federación Grupo 3 española,ESP,- -
Int,- - -,Barcelona,Primera División española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
Seg,- - -,R. Madrid,Primera División española,ESP,- -
Seg,- - -,Real San Sebastián,Primera División española,ESP,- -
,- - -,Numantia,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Ponferrada,Primera División Federación A española,ESP,- -
,- - -,Mirandés,Segunda División española,ESP,- -
Juv,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Ret,- - -,Izarra,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Coruña,Primera División Federación A española,ESP,- -
,- - -,Eldense,Segunda División española,ESP,- -
Seg,- - -,Mirandés,Segunda División española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Alzira,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Villalbés,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,C.D. Estepona,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Tudelano,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,R. Santander,Segunda División española,ESP,- -
,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Antoniano,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Teruel,Primera División Federación A española,ESP,- -
,- - -,Brea,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Barakaldo,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,A.D. San Juan,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Racing Cartagena,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,A. Madrid B,Primera División Federación B española,ESP,- -
Seg,- - -,Fuenlabrada,Primera División Federación A española,ESP,- -
