,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Gol,xG,Cab Int,Cab,DsR,Rec,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
- - -,Fic,Álex Vila,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Hugo Esteban,MP (D),5 (18),866,316,272,20,9,1,"2,43",2,26,103,28,"111,2 km","10,81",22,19,2,10,10,0,0,14,6,"3,85","20,27",2,"3,33",79,42,0,3,56,10,56,10
- - -,Ced,Pau Fernández,DF/CR (I),0 (1),4,2,2,0,0,0,0,0,0,0,0,"1,3 km",-,0,-,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0
- - -,,Teddy Sutherland,"MP (DC), DL (C)",0 (1),2,1,1,0,0,0,0,0,0,0,0,"0,0 km",-,0,-,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,0,0,0
- - -,,Nico Toca,"MC, ME (C)",4 (10),478,245,208,26,4,0,"0,69",4,6,51,14,"65,3 km","7,53",13,12,0,2,3,0,0,8,1,"6,78","12,24",0,"0,3",25,6,0,3,3,0,3,0
- - -,Les,Gonzalo Alfaro,DF (DC),10 (16),1.048,550,470,48,9,1,"0,68",1,5,83,27,"142,2 km","13,31",28,21,2,12,11,0,0,23,8,"12,54","9,27",1,"1,49",73,35,2,11,42,6,42,6
- - -,Les,Bruno,DF/CR (D),14 (16),1.757,945,808,101,18,0,"1,13",1,22,123,39,"231,5 km","9,37",42,36,5,17,22,1,0,44,32,"12,19","11,47",0,"1,44",161,84,22,11,51,11,51,11
- - -,,Peio Huestamendia,ME/MP (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Juanma,"DF (IC), CR (I)",27,2.310,1.213,1.039,155,25,3,"1,46",4,21,200,54,"282,8 km","9,9",72,64,4,30,20,6,0,58,23,"11,3","11,38",0,"1,54",177,100,22,11,80,18,80,18
- - -,,Rodri,POR,32,2.880,675,370,0,1,0,0,0,0,0,0,"158,8 km",0,0,-,0,6,12,6,0,0,-,"3,91","8,19",0,0,-,-,-,-,-,-,-,-
- - -,,David Alfonso,DF/CR (I),2 (1),185,82,64,6,2,0,"0,12",0,3,13,3,"26,0 km","11,68",6,5,0,2,1,0,0,6,3,"7,78","18,49",0,"0,1",12,3,0,2,6,3,6,3
- - -,Seg,Juanjo Mateo,DF (D),6 (3),553,283,245,35,5,1,"0,47",2,10,39,18,"74,3 km","12,86",20,20,1,6,12,0,0,3,8,"8,46","15,62",0,"0,55",39,30,2,2,24,2,24,2
- - -,,Alex Cañizares,DL (C),0 (19),445,112,93,3,2,0,0,0,2,28,8,"59,8 km","5,66",6,4,0,6,15,0,0,5,3,"0,61","23,26",4,"3,09",58,19,0,1,3,0,3,0
- - -,,Ander Zoilo,DF (I),11,859,449,374,53,8,1,"0,7",0,10,72,17,"112,1 km","9,74",24,15,1,15,10,4,0,17,15,"7,86","20,54",0,"0,23",66,39,3,9,24,1,24,1
- - -,Ofer,Matías Fernández,DF/CR (D),34,2.820,1.444,1.275,163,30,7,"4,53",5,28,244,53,"398,9 km","14,94",71,60,1,28,28,3,0,55,42,"14,68","10,37",0,"3,83",153,82,20,20,100,16,100,16
- - -,Juv,Gerardo,MP (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Álex Gil,ME/MP (D),5 (25),1.216,455,378,38,18,2,"0,92",2,39,142,43,"163,5 km","10,95",34,27,1,18,18,1,0,17,17,"4,51","18,36",4,"1,94",88,26,0,6,55,6,55,6
- - -,,Fran Carmona,DF (C),38,3.383,2.014,1.748,158,23,0,"1,14",2,3,129,50,"408,7 km","5,37",54,41,13,21,10,4,0,46,59,"15,96","3,01",3,"2,6",347,262,38,22,13,5,13,5
- - -,,Iván Aguilar,DL (C),36,2.861,750,641,31,35,0,"1,66",3,21,190,57,"340,5 km","5,82",66,54,1,29,46,1,0,27,19,"1,82","19,82",9,"7,8",331,127,0,6,19,1,19,1
- - -,,Aitor Fraga,POR,2,180,38,20,0,0,0,0,0,0,0,0,"8,5 km",0,1,0,0,0,0,0,0,0,-,2,9,0,0,-,-,-,-,-,-,-,-
- - -,,Edu Adell,DF/CR (I),30,2.700,1.309,1.071,177,24,0,"3,11",4,39,230,72,"377,1 km","11,77",89,78,3,32,25,10,0,75,40,"15,6","14,27",0,"1,28",219,141,6,26,121,19,116,17
- - -,,Goyo Medina,DF/CR/ME (I),10 (1),966,434,344,49,11,0,"1,08",3,12,57,19,"107,9 km","9,04",29,23,1,19,20,6,1,13,14,"9,5","14,35",0,"0,12",45,25,2,5,36,6,36,6
- - -,,Carlos Daniel,DF (C),22,1.980,1.183,1.008,91,9,2,"2,1",4,2,55,20,"235,9 km","4,32",21,15,3,12,5,1,0,29,35,"15,86","3,09",0,"1,69",210,133,24,10,4,1,4,1
- - -,,Erik Aguado,ME/MP (D),35,2.661,1.085,912,66,58,5,"4,19",5,76,307,88,"349,3 km","10,42",69,61,0,38,50,5,1,34,31,"3,89","19,79",4,"4,65",185,55,0,9,205,29,156,26
- - -,Seg,Diego Esteban,MP (I),12,913,310,241,37,13,6,"3,32",6,13,111,40,"121,1 km","12,72",31,26,0,16,9,2,0,20,10,"9,36","7,2",2,"0,78",51,18,0,4,41,4,41,4
- - -,,Guaya,DF (IC),28,2.489,1.335,1.131,174,24,4,"2,73",8,24,191,69,"332,5 km","13,2",90,69,2,33,23,4,0,69,28,"10,59","16,78",0,"0,57",179,132,16,22,145,24,107,18
- - -,Seg,Luismi Luengo,DF (C),27,2.421,1.407,1.220,93,8,2,"1,42",4,2,91,33,"284,2 km","4,57",38,32,7,19,6,5,0,43,41,"14,35","3,64",1,"2,39",247,179,14,13,4,2,4,2
- - -,,Izan Flaño,DF (D),34,2.859,1.488,1.277,161,32,1,"2,01",5,36,229,64,"374,3 km","10,99",77,63,7,28,27,4,0,67,59,"13,16","13,32",1,"3,13",172,69,30,27,144,22,98,15
- - -,,Nene,"ME (I), MP (DIC)",32,2.405,862,740,68,46,4,"4,42",5,108,288,80,"309,4 km","10,63",63,54,0,39,32,0,0,27,22,"3,56","21,03",7,"4,04",172,46,0,6,105,18,101,18
- - -,,Varo,DF (C),6 (7),943,586,509,41,3,1,"0,24",2,0,36,12,"110,8 km","4,2",16,15,3,6,7,1,0,26,12,"14,22","4,01",1,"0,94",88,68,3,8,1,0,1,0
- - -,Seg,Jorge Aguirre,DL (C),22 (9),1.619,381,321,16,14,0,"1,27",4,20,92,24,"205,2 km","4,78",20,11,0,16,41,1,0,14,11,1,"17,51",7,"6,67",215,70,0,6,13,3,13,3
- - -,Seg,Mikel Goti,"ME (I), MP (DIC)",12 (7),988,364,297,39,26,1,"1,66",3,20,137,29,"138,4 km","13,3",27,24,1,10,19,0,0,16,11,"4,65","19,77",3,"1,54",74,15,0,1,50,11,50,11
- - -,Ret,Rúper,"MC, ME (C)",31,2.462,1.405,1.250,110,55,2,"2,56",6,17,268,65,"330,4 km","8,66",65,51,0,52,14,3,1,37,27,"12,58","7,35",1,"2,01",136,69,7,10,174,24,10,3
- - -,Seg,Pipa,ME/MP (C),0 (2),39,13,11,0,0,0,0,0,0,5,0,"6,8 km",-,0,-,0,0,0,0,0,0,1,-,-,0,0,4,0,0,0,0,0,0,0
- - -,,Dani Plomer,"MP (I), DL (C)",33,2.784,753,629,23,22,1,"0,72",2,30,190,46,"343,6 km","5,5",41,34,3,32,70,1,0,26,19,"1,91","17,52",9,"9,53",347,65,0,5,22,7,22,7
- - -,Seg,Joel Arumí,DF/CR (I),33,2.754,1.474,1.283,208,53,3,"5,16",7,38,270,73,"387,5 km","13,99",119,90,8,39,44,5,0,62,49,"13,73","11,08",0,"0,09",115,35,12,32,72,9,62,9
- - -,Pet,Miguel Ángel Brau,DF/CR/ME/MP (I),6 (15),748,358,296,41,10,0,"1,11",1,12,68,19,"107,6 km","10,71",27,27,1,10,8,0,0,19,9,"5,78","22,38",0,"0,16",49,23,5,4,42,6,42,6
- - -,,Sergio Neira,MP (IC),1 (1),124,43,35,4,3,0,"0,7",0,3,14,5,"19,0 km","12,34",5,4,0,1,1,1,0,1,1,"4,35","18,87",1,"0,28",12,3,0,0,7,2,7,2
- - -,,Iván Martínez,ME/MP (I),32,2.871,1.014,861,63,41,2,"6,3",9,93,387,89,"388,6 km","12,16",75,61,1,38,50,0,0,35,37,"4,83","19,53",7,"6,25",234,60,0,8,133,23,117,23
- - -,,Álvaro,ME/MP (C),38 (1),2.203,797,677,43,27,4,"3,65",7,33,212,36,"312,6 km","8,13",31,27,0,15,13,0,0,32,25,"10,87","17,36",6,"4,99",179,29,0,7,18,3,18,3
- - -,,Joel Ruiz,POR,1 (2),194,48,41,0,1,0,0,0,0,0,0,"12,3 km",0,0,-,0,0,1,0,0,0,-,"1,86","9,74",0,0,-,-,-,-,-,-,-,-
- - -,,Kevin Toner,DF (C),3 (7),748,421,381,27,4,0,"0,05",0,1,28,13,"95,8 km","4,45",13,11,4,6,2,3,0,15,16,"13,84","3,37",0,"0,26",75,61,5,2,2,0,2,0
- - -,,Daniel Garrido,"MC, ME (C)",12,1.080,619,558,57,20,4,"3,18",9,3,109,32,"148,1 km","8,5",32,27,3,10,9,5,0,14,23,"16,33","5,75",1,"0,92",44,9,1,5,7,2,7,2
- - -,,Ransford Selasi,"MC, ME (C)",3 (15),477,261,236,27,4,0,"0,14",2,1,44,9,"66,7 km","10,75",9,7,1,7,4,1,0,5,5,"12,08","4,91",1,"0,09",35,15,0,2,2,2,2,2
- - -,,Martí Soler,ME (C),31,2.078,1.006,873,83,33,4,"5,4",8,25,244,72,"269,9 km","7,71",59,47,0,20,11,3,0,41,17,"13,21","12,78",2,"0,69",128,71,0,12,29,3,23,2
- - -,,Markitos,DL (C),26 (9),2.552,612,516,16,16,0,"0,96",2,24,138,39,"337,6 km","6,07",29,22,0,31,84,0,0,23,19,"1,09","22,25",8,"7,8",301,52,0,3,20,3,20,3
- - -,,Carlos Mattheus,ME/MP (I),17 (6),1.563,535,468,27,17,1,"1,61",3,51,169,37,"213,4 km","12,09",36,35,1,26,15,6,0,31,22,"2,02","15,37",4,"4,88",150,42,0,10,45,3,45,3
- - -,,Jacobo Cornejo,ME/MP (D),6 (15),947,343,287,22,15,1,"0,82",0,23,101,27,"111,4 km","10,36",25,16,0,11,13,0,0,11,10,"2,38","12,64",2,"2,12",56,13,0,4,48,11,44,10
- - -,,Aitor Lorea,ME/MP (D),0 (14),329,150,137,16,6,0,"0,12",1,7,36,10,"41,5 km","15,59",10,8,0,3,5,0,0,3,3,"5,74","16,41",0,"0,08",24,8,0,1,15,1,15,1
- - -,,Aitor Albizu,"MC, ME (C)",33,2.813,1.584,1.366,141,66,4,"3,49",5,10,283,100,"395,6 km","9,18",98,75,6,34,17,0,0,38,45,"18,27","5,92",0,"1,46",101,21,8,9,17,2,17,2
- - -,,Javi Lancho,DF/CR/MP (I),0 (6),162,68,59,7,1,0,0,0,5,21,4,"18,8 km","11,67",4,4,0,2,2,0,0,5,1,5,"26,67",0,"0,91",10,4,1,1,10,1,10,1
- - -,,Eneko Delgado,"ME (C), MP (IC)",0 (2),98,34,33,3,2,0,"0,29",0,1,7,3,"16,1 km","9,18",3,0,0,0,0,0,0,2,1,"4,59","27,55",0,"0,5",7,1,0,0,2,0,2,0
- - -,,Paul Álvarez,DF (DC),30,2.647,1.472,1.261,104,8,0,"1,43",3,5,87,37,"311,0 km","3,67",37,31,7,31,9,10,1,26,55,"11,73","3,3",0,"2,23",236,148,19,12,10,1,4,1
- - -,,Assane,"MC, ME (C)",31,2.745,1.572,1.414,123,30,4,"5,46",10,14,280,84,"377,1 km","9,54",83,68,3,23,13,4,0,39,40,"12,75","9,9",2,"1,31",134,51,2,12,12,1,12,1
- - -,,Álex Revuelta,DF (C),32,2.823,1.698,1.484,125,12,1,"1,76",2,1,95,28,"319,5 km","3,89",30,22,7,25,10,6,0,38,43,"17,98","3,86",1,"0,32",300,216,30,15,2,0,2,0
- - -,,Abde,"ME (I), MP (DI), DL (C)",22,1.830,608,528,26,12,3,"3,01",6,49,230,52,"250,4 km","13,18",48,43,0,33,19,2,0,39,15,"4,48","17,85",1,"4,86",95,17,0,11,58,10,58,10
- - -,,Jaime González,POR,34,2.946,693,441,0,0,0,0,0,0,0,0,"173,2 km",0,6,0,0,1,17,1,0,0,-,"3,42","7,94",0,0,-,-,-,-,-,-,-,-
- - -,,Lucas Ricoy,DL (C),0 (10),295,78,66,0,0,0,"0,02",0,3,16,5,"44,3 km","7,02",3,3,0,4,3,0,0,3,1,0,"24,41",3,"0,72",39,6,0,2,2,1,2,1
- - -,,Miguel Ángel Ruiz,DF/CR (D),2 (7),364,143,123,16,4,1,0,0,11,31,7,"53,0 km","14,34",9,8,0,3,3,0,0,10,3,"7,17","11,87",0,"0,04",25,15,0,0,15,3,15,3
- - -,,Dani Sandoval,ME/MP (C),3 (13),776,385,323,28,8,1,"1,71",2,5,90,23,"102,7 km","7,89",20,15,0,12,9,0,0,10,12,"9,16","14,15",0,"0,59",37,12,0,4,8,3,8,3
- - -,,Jesús Romero,POR,22 (2),1.840,454,281,0,0,0,0,0,0,0,0,"100,2 km",0,3,1,0,1,3,1,0,0,-,"3,67","6,46",0,0,-,-,-,-,-,-,-,-
- - -,Ced,Ratinho,MP (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Aarón Ochoa,ME/MP (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Pau Martínez,"ME (D), MP (DI)",7 (20),1.037,381,335,21,11,0,"0,36",2,42,115,23,"141,6 km","9,72",22,17,0,12,14,0,0,19,3,"1,48","22,3",1,"0,51",72,13,0,5,185,27,61,11
- - -,,Daniel Sandoval,MP (I),2 (22),477,163,137,10,10,2,"0,91",2,12,58,17,"65,1 km","12,83",14,13,0,3,5,0,0,6,4,"1,89","16,79",0,"0,48",37,6,0,0,28,2,14,2
- - -,,Joserra,DF/CR (I),25,1.907,985,856,109,15,1,"1,52",2,26,157,37,"254,2 km","11,09",51,45,2,31,15,2,0,42,37,"10,62","15,06",0,"0,21",120,82,3,20,77,9,77,9
- - -,,Ángel Mancheño,DF/CR/MP (D),9 (2),604,260,231,12,9,1,"0,76",2,19,76,15,"82,2 km","8,79",13,13,0,15,3,0,0,12,8,"2,98","20,41",0,"1,3",43,11,0,5,33,6,33,6
- - -,Juv,Adrián Villanueva,DF (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Relu,"MC, ME/MP (C)",29,2.043,1.047,891,95,38,2,"2,37",4,25,254,73,"274,0 km","7,31",71,60,2,29,17,5,1,43,22,"14,27","15,33",0,"0,42",122,47,0,9,22,5,22,5
- - -,,Xanet Oláiz,DF (IC),0 (3),131,62,49,5,1,0,0,0,1,9,3,"19,0 km","12,37",3,3,0,2,0,0,0,4,2,"8,24","19,92",0,0,10,8,1,1,2,0,2,0
- - -,,Álex Rasines,DF/CR (D),25,2.250,1.147,982,131,28,1,"3,7",6,40,179,51,"305,9 km","10,8",56,39,3,18,32,0,0,53,39,"13,92","15,76",2,"2,92",152,82,4,19,127,17,127,17
- - -,Seg,Pablo Haro,MP (DI),2 (17),610,217,191,16,6,0,"0,99",2,29,60,18,"86,3 km","9,89",14,12,0,7,8,1,0,8,3,"3,54","18,44",1,"1,22",38,13,1,2,27,4,27,4
- - -,,Marcos Trabanco,DF/CR/ME/MP (D),31,2.790,1.419,1.237,163,48,4,"3,45",3,33,217,60,"385,1 km","15,32",69,55,1,41,28,12,0,64,58,"11,13","15,55",2,"5,76",175,89,6,19,193,30,164,25
- - -,,Arkaitz Mariezkurrena,"MP (DIC), DL (C)",7 (1),526,200,164,14,9,0,"0,74",1,16,69,15,"66,8 km","10,44",15,11,0,8,10,1,0,11,1,"4,62","15,91",1,"1,29",41,8,0,2,39,3,33,3
- - -,,Lluis Andreu,POR,32,2.787,666,353,0,1,0,0,0,0,0,0,"144,9 km",0,3,1,0,0,5,0,0,0,-,"2,84","7,69",0,0,-,-,-,-,-,-,-,-
- - -,,David Aparicio,"ME (I), MP (IC)",15 (2),1.020,351,295,33,37,2,"0,47",0,38,134,38,"137,3 km","12,97",29,24,1,13,14,0,0,21,13,"4,5","15,53",0,"2,19",79,22,0,3,59,7,34,5
- - -,,Javi Alba,"MC, ME/MP (C)",3 (22),650,324,272,29,18,0,"1,02",3,3,73,12,"88,8 km","7,89",11,8,1,4,3,0,0,5,6,"8,72","14,12",0,"0,81",25,10,0,0,27,7,9,4
- - -,,Iker Córdoba,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Buru,POR,34,3.060,670,395,0,1,0,0,0,0,0,0,"177,3 km",0,1,0,0,2,12,2,0,0,-,"4,71","7,38",0,0,-,-,-,-,-,-,-,-
- - -,,Chinedu,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Opc,Álvaro Barbosa,"ME (I), MP (DIC)",27 (9),2.432,822,695,57,37,2,"2,95",4,68,303,82,"323,3 km","12,36",63,48,1,36,31,0,0,42,25,"4,14","22,69",8,"5,42",196,74,0,10,113,14,113,14
- - -,Juv,Antonio,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Isaac Amoah,DF (C),2 (3),285,160,135,13,1,0,"0,09",0,0,5,2,"32,7 km","4,42",2,2,1,1,0,0,0,6,7,"13,89","4,74",0,0,33,23,1,2,1,0,1,0
- - -,,Kike Vidal,DF (C),7 (1),652,364,315,30,2,0,0,0,1,28,11,"81,2 km","4,83",15,13,4,3,3,0,0,9,16,"12,01","4,42",0,"0,32",68,42,3,1,4,0,4,0
- - -,,Josu,MP (DIC),34,2.514,894,740,69,77,7,"6,09",9,53,346,87,"334,9 km","12,03",76,68,1,37,26,0,0,47,23,"5,08","21,66",5,"3,38",197,55,0,11,330,60,106,22
- - -,,Josu Ibarbia,"DF (DI), CR (D)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Adrián Fernández,POR,32,2.802,632,336,0,0,0,0,0,0,0,0,"179,3 km",0,3,1,0,1,15,1,0,0,-,"3,79","7,45",0,0,-,-,-,-,-,-,-,-
- - -,Seg,Jesús Tamayo,"MP (DIC), DL (C)",17,1.513,527,459,36,21,5,"4,78",5,27,170,39,"214,2 km","9,93",26,21,0,14,3,0,0,28,14,"8,33","24,75",4,"4,15",109,47,0,1,19,4,19,4
- - -,,Marc Vidal,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Álex Alemán,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Toni García,ME/MP (I),3,270,60,44,0,0,0,"0,2",0,0,0,0,"0,0 km",0,7,5,0,3,2,0,0,0,0,0,0,0,"1,53",0,-,0,0,0,0,0,0
- - -,,Moi Parra,"MP (DI), DL (C)",9 (15),1.156,372,305,21,14,0,"0,41",2,20,89,24,"152,1 km","8,1",25,21,0,24,22,1,0,4,6,"1,56","15,34",9,"5,68",121,35,0,0,40,6,40,6
- - -,,Borja Marchante,DF (C),19 (4),1.761,1.033,926,77,6,0,"0,68",2,8,67,23,"209,2 km","4,34",27,20,4,16,7,5,0,20,27,"17,94","3,27",1,"1,18",163,118,8,9,5,0,5,0
- - -,,Ángel Martínez,DF/ME/MP (I),30,2.580,1.266,1.100,152,34,0,"0,54",2,29,201,55,"353,1 km","13,57",79,62,1,30,45,6,1,52,52,"6,87","16,64",1,"0,75",161,82,17,24,86,15,86,15
- - -,,Luken Beitia,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Óscar Fernández,MP (D),28 (1),1.971,789,668,56,46,1,"1,61",13,55,207,61,"273,9 km","11,83",49,42,1,18,19,0,0,39,31,"2,51","22,83",2,"4,18",137,43,0,9,100,26,100,26
- - -,,Isra Cano,ME/MP (C),3 (24),912,499,455,43,18,4,"3,85",5,9,97,22,"123,6 km","7,5",19,16,1,4,10,0,0,11,11,"12,93","9,77",1,"1,07",47,16,0,3,6,0,6,0
- - -,,Mario Benedet,MP (C),0 (4),61,35,29,2,0,0,"0,23",1,0,8,1,"8,8 km",-,1,1,0,2,0,0,0,1,0,-,-,0,"0,88",3,0,0,0,0,0,0,0
- - -,,Pece,"MP (C), DL (C)",2 (30),1.213,379,310,13,9,1,"1,03",1,13,92,23,"155,0 km","5,71",22,19,0,15,24,0,0,14,10,2,"18,4",5,"3,19",130,27,0,2,8,0,8,0
- - -,,Dani Cervera,"MC, ME/MP (C)",12,924,531,461,43,13,1,"0,34",2,5,86,18,"125,3 km","8,47",18,17,1,12,5,0,0,8,12,"9,84","8,67",0,"0,47",50,27,0,3,6,3,6,3
- - -,,Kikín,DF (D),17 (8),1.683,818,688,90,22,3,"1,56",2,32,146,41,"215,2 km","14,55",50,42,0,25,18,6,0,29,29,"12,73","13,58",1,"4,25",83,43,0,4,66,6,66,6
- - -,,César Llopis,DF (C),31,2.672,1.639,1.371,100,43,2,"1,89",4,3,109,44,"305,4 km","4,35",49,32,7,20,7,2,0,39,43,"19,7","3,1",1,"2,72",268,176,42,11,167,13,15,1
- - -,,Marc Manchón,"MC, ME (C)",0 (12),298,159,131,16,1,0,0,1,2,30,6,"40,2 km","6,34",6,5,0,4,1,2,0,3,3,"12,08","8,15",0,"0,07",16,11,2,1,1,0,1,0
- - -,,Javi Delgado,"MP (DI), DL (C)",32,2.745,964,800,72,51,3,"3,94",4,66,303,93,"353,2 km","11,84",85,73,0,24,41,0,0,46,33,"3,7","17,28",5,"7,29",202,60,0,9,114,23,114,23
- - -,,Fran Ávila,DF/CR (I),19,1.650,784,662,88,15,1,"2,34",1,10,115,34,"203,1 km","12,6",53,42,1,18,11,0,0,26,31,"10,75","13,25",0,"0,41",124,74,4,16,65,13,64,13
- - -,,Martín Arruti,"MC, ME (C)",14,1.161,567,500,37,17,1,"0,82",0,10,123,34,"152,9 km","7,36",24,21,0,13,10,0,0,17,13,"12,25","11,63",4,"0,84",77,40,0,2,65,5,20,4
- - -,,Txus Ayensa,"MC, ME (C)",0 (17),402,237,210,14,2,0,"0,36",1,2,41,8,"56,2 km","8,73",8,7,0,7,2,0,0,5,2,"13,21","3,81",1,"0,61",19,7,1,2,1,0,1,0
- - -,,Gaizka García,POR,0 (1),7,1,0,0,0,0,0,0,0,0,0,"0,0 km",-,0,-,0,0,0,0,0,0,-,-,-,0,0,-,-,-,-,-,-,-,-
- - -,Seg,Gonzalo Calçada,"MC, ME (C)",34,2.908,1.679,1.524,152,46,3,"6,83",20,22,300,82,"407,0 km","9,41",80,60,0,40,25,3,0,41,34,"15,88","6,84",3,"2,13",149,78,3,12,48,5,14,1
- - -,,Sergio García,MP (IC),17 (2),1.321,454,386,33,22,3,"1,37",2,35,150,33,"170,4 km","11,72",32,21,0,9,19,1,0,25,12,"3,54","15,94",2,"1,58",93,31,0,2,95,13,42,7
- - -,,Áron Yaakobishvili,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Ret,Óscar Rubio,DF (D),1 (13),760,430,374,43,10,2,"1,02",0,10,37,13,"87,3 km","7,34",14,13,1,5,7,1,0,13,18,"13,97","7,34",0,"0,13",53,37,3,5,13,1,13,1
- - -,,Álex Pérez,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Miguel Goñi,DF (C),26,2.140,1.400,1.154,98,10,2,"1,95",4,1,81,34,"262,6 km","4,12",36,28,4,11,5,4,0,41,26,"19,09","3,24",1,"3,15",170,119,18,8,5,0,5,0
- - -,,Víctor Vázquez,"ME (D), MP (DIC)",1 (25),802,303,239,34,28,2,"0,26",0,12,73,23,"93,0 km","8,08",23,18,0,6,5,1,0,15,11,"7,18","10,1",0,"0,81",44,11,1,2,138,16,32,2
- - -,Seg,Marouan Sannadi,"DF (C), DL (C)",33,2.875,1.633,1.396,111,21,0,"1,78",4,22,247,66,"375,9 km","7,7",69,59,2,53,22,7,0,43,32,"11,93","8,11",1,"3,08",204,129,6,10,11,4,11,4
- - -,Juv,Rafael,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Ced,Manu Garrido,DL (C),6 (26),1.035,265,230,10,9,1,"0,54",1,10,85,19,"129,5 km","4,96",17,14,0,15,19,0,0,10,7,"0,96","23,22",4,"4,17",142,57,0,1,9,0,9,0
- - -,,Javi Pedrosa,ME/MP (D),4 (19),759,272,239,12,9,0,"0,17",0,13,86,13,"89,3 km","9,6",14,11,0,12,6,2,0,9,7,"2,73","17,79",1,"0,95",53,11,0,2,46,2,33,2
- - -,,Carlos Badal,DF (C),5 (2),546,320,266,16,2,0,"0,76",0,0,16,4,"63,0 km","4,78",4,2,2,0,3,0,0,7,8,"18,3","2,97",0,"0,31",48,30,5,7,0,0,0,0
- - -,,Marc Sirera,DF (DC),33,2.747,1.363,1.179,131,31,3,"1,78",2,38,223,52,"344,5 km","10,03",71,50,4,22,24,0,0,56,40,"12,02","13,07",1,"2,8",196,133,14,21,86,14,86,14
- - -,,Toni Vicente,ME (C),0 (13),399,116,107,7,6,0,"0,13",0,2,36,8,"54,5 km","8,35",8,6,1,3,6,0,0,6,2,"5,64","18,72",4,"1,11",43,6,0,1,3,1,3,1
- - -,,Dani Pereiro,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Les,Luis Pareja,"DF (DC), MC",4 (17),970,555,477,31,2,1,"0,33",0,1,43,12,"116,7 km","4,92",12,8,1,5,1,1,0,14,12,"13,45","3,71",0,"1,05",97,64,2,8,0,0,0,0
- - -,,David Marín,ME (C),0 (3),156,75,64,9,4,0,"0,53",0,0,14,8,"20,9 km","9,23",8,7,1,2,1,0,0,2,3,"5,77","15,58",0,0,7,0,0,0,6,0,6,0
- - -,,David Momoh,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Òscar Romero,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
