,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Enc,xGE,BAt,BDs,Rp %,BRe,Pas I,Pas C,Portería imbatida,Pep %,Paradas/90,Pen. parados,Prop. penaltis parados,Gl Err,Pos Gan/90,Pos Perd/90
- - -,,Diego Gómez,DL (C),3 (18),587,-,-,-,-,-,-,145,131,-,-,-,-,-,0,"0,46","24,84"
- - -,,Isaac Obeng,"ME (I), MP (DI)",1 (2),98,-,-,-,-,-,-,34,29,-,-,-,-,-,0,"4,59","15,61"
- - -,,Jesús Cruz,"MC, ME (C)",7 (16),1.024,-,-,-,-,-,-,550,499,-,-,-,-,-,0,"15,21","12,74"
- - -,,Aimar Peña,DL (C),31,2.608,-,-,-,-,-,-,643,554,-,-,-,-,-,0,"2,17","17,6"
- - -,,Pablo Becken,DF (DC),32,2.799,-,-,-,-,-,-,1.664,1.454,-,-,-,-,-,0,"14,95","4,53"
- - -,Seg,Miguel Gándara,DF (DC),32,2.674,-,-,-,-,-,-,1.501,1.283,-,-,-,-,-,1,"11,01","6,97"
- - -,,Mateo,"MC, ME (C)",3,264,-,-,-,-,-,-,140,112,-,-,-,-,-,0,"6,82","10,57"
- - -,Seg,Jaime,ME (C),19 (2),1.378,-,-,-,-,-,-,684,606,-,-,-,-,-,0,"14,56","12,8"
- - -,,Carlos Quintana,DF (C),26,2.051,-,-,-,-,-,-,1.181,1.032,-,-,-,-,-,0,"13,73","4,04"
- - -,,Alberto Gómez,"MC, ME (C)",32,2.587,-,-,-,-,-,-,1.481,1.319,-,-,-,-,-,0,"11,76","7,76"
- - -,,Alejandro Ramos,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Ret,Borjas,"MP (D), DL (C)",35,2.687,-,-,-,-,-,-,697,631,-,-,-,-,-,0,"2,75","16,38"
- - -,,Pablo Carbonell,DF/CR/ME (I),20 (4),1.690,-,-,-,-,-,-,876,742,-,-,-,-,-,0,"7,83","19,86"
- - -,,Álvaro Rivero,DL (C),35,2.659,-,-,-,-,-,-,697,582,-,-,-,-,-,0,"1,93","19,12"
- - -,,Santi Luque,"ME (I), MP (DI)",35,2.777,-,-,-,-,-,-,873,733,-,-,-,-,-,0,"5,51","11,96"
- - -,,Ivi,DF/CR (I),31,2.740,-,-,-,-,-,-,1.411,1.144,-,-,-,-,-,1,"8,51","18,59"
- - -,,Fabián Luzzi,"MP (DI), DL (C)",1 (18),511,-,-,-,-,-,-,150,134,-,-,-,-,-,0,"2,11","25,71"
- - -,Fic,Gorka Iturraspe,ME (C),0 (8),96,-,-,-,-,-,-,47,42,-,-,-,-,-,0,"6,56","15,94"
- - -,,Álvaro Pérez,DF (DC),7 (4),572,-,-,-,-,-,-,323,270,-,-,-,-,-,0,"11,96","8,02"
- - -,,Julio Delgado,"CR (I), ME/MP (DI)",29 (2),2.744,-,-,-,-,-,-,1.152,973,-,-,-,-,-,0,"6,53","14,63"
- - -,Seg,Sergio Chinchilla,DF/CR/ME/MP (D),3,270,-,-,-,-,-,-,60,42,-,-,-,-,-,0,0,0
- - -,,Álex Masogo,"MC, ME (C)",0 (7),137,-,-,-,-,-,-,78,67,-,-,-,-,-,0,"9,2","7,23"
- - -,,Alejandro Herrero,POR,31,2.703,33,"3,28",24,17,70%,39,653,399,7,89%,2,0,0%,1,"2,93","7,33"
- - -,,Carlos Giménez,DF (C),15 (17),1.625,-,-,-,-,-,-,914,799,-,-,-,-,-,0,"11,13","3,93"
- - -,,Brian Fariñas,"MC, ME/MP (C)",4 (3),366,-,-,-,-,-,-,184,172,-,-,-,-,-,0,"13,77","10,08"
- - -,,Álvaro Clausí,"DF (IC), MC, ME (C)",3 (26),1.155,-,-,-,-,-,-,620,512,-,-,-,-,-,0,"13,32","6,94"
- - -,,Kevin Presa,"MC, ME (C)",31,2.438,-,-,-,-,-,-,1.358,1.197,-,-,-,-,-,0,"9,56","14,03"
- - -,,Brian Pallarés,ME/MP (I),36,3.250,-,-,-,-,-,-,1.140,973,-,-,-,-,-,0,"6,2","18,11"
- - -,,Iñigo Baqué,"DF (C), MC, ME (C)",32,2.751,-,-,-,-,-,-,1.559,1.377,-,-,-,-,-,0,"11,91","5,4"
- - -,,Raúl Tavares,ME (C),0 (15),237,-,-,-,-,-,-,119,101,-,-,-,-,-,0,"8,73","10,63"
- - -,,Mario Da Costa,"MP (C), DL (C)",0 (2),33,-,-,-,-,-,-,13,13,-,-,-,-,-,0,-,-
- - -,,Lolo Garrido,"MC, ME (C)",31,2.758,-,-,-,-,-,-,1.601,1.394,-,-,-,-,-,0,"11,52","6,75"
- - -,,Tana,"ME (C), MP (DIC)",33 (1),2.696,-,-,-,-,-,-,940,788,-,-,-,-,-,0,"7,78","13,35"
- - -,,Pelón,"DF (C), MC",33,2.638,-,-,-,-,-,-,1.530,1.307,-,-,-,-,-,0,"9,18","7,61"
- - -,,Omar Ouhdadi,"ME (I), MP (DI)",29,2.527,-,-,-,-,-,-,874,753,-,-,-,-,-,0,"5,48","11,54"
- - -,,José Ortega,POR,31,2.600,30,"2,22",15,15,71%,47,594,352,7,90%,2,0,0%,1,"2,67","6,65"
- - -,,Ekain Díaz de Alda,DF (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Alpha Bagayoko,DL (C),31,2.303,-,-,-,-,-,-,581,504,-,-,-,-,-,0,"1,68","23,64"
- - -,,Antonio Crespo,"ME (D), MP (DI)",31,2.537,-,-,-,-,-,-,916,785,-,-,-,-,-,0,"5,14","24,23"
- - -,,David Arredondo,ME (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Niko Takahashi,DF/CR (I),4,338,-,-,-,-,-,-,181,148,-,-,-,-,-,0,"10,12","13,31"
- - -,,Pepe Carmona,ME/MP (D),7 (6),700,-,-,-,-,-,-,253,215,-,-,-,-,-,0,"4,5","17,61"
- - -,,José Viguera,DF (C),33,2.867,-,-,-,-,-,-,1.681,1.505,-,-,-,-,-,1,"14,69","3,36"
- - -,,Juanma,DF (C),32,2.796,-,-,-,-,-,-,1.785,1.537,-,-,-,-,-,0,"16,13","4,09"
- - -,Fic,Sebas Lauture,DF (C),33,2.727,-,-,-,-,-,-,1.554,1.311,-,-,-,-,-,0,"12,87","4,62"
- - -,Les,Rafa De Vicente,ME (C),32 (6),2.697,-,-,-,-,-,-,1.254,1.079,-,-,-,-,-,0,"8,84","13,45"
- - -,,Gorka Rivera,DF/CR (I),18 (2),1.634,-,-,-,-,-,-,821,685,-,-,-,-,-,0,"13,55","12,06"
- - -,,Admonio,DF (C),2 (4),427,-,-,-,-,-,-,270,219,-,-,-,-,-,0,"10,12","3,79"
- - -,,Toni Herrero,DF/CR (I),2,180,-,-,-,-,-,-,118,93,-,-,-,-,-,0,10,20
- - -,,Roger Figueras,DF (DC),31,2.708,-,-,-,-,-,-,1.555,1.359,-,-,-,-,-,0,"17,68","3,09"
- - -,,Jesús Fortea,DF (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Baka,"MC, ME (C)",35,2.310,-,-,-,-,-,-,1.133,989,-,-,-,-,-,0,"12,27","13,64"
- - -,Fic,Aimar Collante,DF (IC),27 (1),2.322,-,-,-,-,-,-,1.380,1.189,-,-,-,-,-,0,"16,43","2,52"
- - -,,Pablo Santana,ME (C),2 (16),476,-,-,-,-,-,-,263,226,-,-,-,-,-,0,"10,21","9,08"
- - -,,Abel,DF (DC),1 (7),450,-,-,-,-,-,-,247,219,-,-,-,-,-,0,"17,4","5,8"
- - -,,Rubén López,"MC, ME (C)",28,2.147,-,-,-,-,-,-,1.082,934,-,-,-,-,-,1,"14,8","12,11"
- - -,,Javier Orodea,"ME (C), DL (C)",35 (1),3.151,-,-,-,-,-,-,990,837,-,-,-,-,-,0,"4,48","17,05"
- - -,,Mohamed Mizzian,DL (C),0 (5),49,-,-,-,-,-,-,11,11,-,-,-,-,-,0,-,-
- - -,,Martín Lapeña,"MP (DC), DL (C)",8 (22),1.360,-,-,-,-,-,-,452,379,-,-,-,-,-,0,"6,09","16,48"
- - -,,Mamor Niang,DL (C),3 (34),1.225,-,-,-,-,-,-,317,280,-,-,-,-,-,0,"0,59","20,64"
- - -,,Pol Bassa,DF/CR (I),0 (2),137,-,-,-,-,-,-,76,64,-,-,-,-,-,0,"11,82","18,39"
- - -,,Luis Sánchez,ME/MP (D),31,2.610,-,-,-,-,-,-,962,838,-,-,-,-,-,0,"4,59","17,28"
- - -,,Illies,DL (C),6 (11),625,-,-,-,-,-,-,160,143,-,-,-,-,-,0,"1,01","18,43"
- - -,,Iago Díaz,"ME (DI), MP (DIC), DL (C)",1 (21),235,-,-,-,-,-,-,79,73,-,-,-,-,-,0,"1,15","16,47"
- - -,,Adrià Capdevila,"MC, ME (C)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Víctor Sala,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Rafa Diz,ME (D),18 (4),1.593,-,-,-,-,-,-,615,510,-,-,-,-,-,0,"4,52","16,16"
- - -,,Ruymán,"DF (C), MC, ME (C)",5 (11),682,-,-,-,-,-,-,433,362,-,-,-,-,-,0,"19,93","2,77"
- - -,,Manuel Salinas,DL (C),0 (24),632,-,-,-,-,-,-,179,148,-,-,-,-,-,0,"1,42","18,37"
- - -,,Albert Navarro,DF/CR (I),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Les,Darío García,ME (C),22 (2),1.793,-,-,-,-,-,-,985,849,-,-,-,-,-,0,12,"17,92"
- - -,,David Rodríguez,ME (C),7 (19),1.181,-,-,-,-,-,-,592,507,-,-,-,-,-,0,"10,36","14,71"
- - -,Seg,Javi Moreno,DF (DC),33 (1),3.036,-,-,-,-,-,-,1.789,1.512,-,-,-,-,-,0,"11,56","4,89"
- - -,,Vadik Murria,DF (C),6 (5),602,-,-,-,-,-,-,333,301,-,-,-,-,-,0,"11,81","4,93"
- - -,,Runy,"MP (I), DL (C)",30 (1),2.159,-,-,-,-,-,-,549,471,-,-,-,-,-,0,"2,29","16,13"
- - -,,Hugo Ríos,POR,1 (5),286,3,"-0,57",1,3,62%,1,69,43,3,86%,1,0,-,0,"2,83","6,92"
- - -,Ret,Pablo Rey,"ME (C), MP (IC)",35,2.994,-,-,-,-,-,-,1.099,908,-,-,-,-,-,0,"7,55","16,38"
- - -,,Diego,"MC, ME (C)",36,2.897,-,-,-,-,-,-,1.305,1.106,-,-,-,-,-,0,"12,08","11,25"
- - -,,David López,DF (IC),33,2.882,-,-,-,-,-,-,1.644,1.405,-,-,-,-,-,0,"15,11","3,15"
- - -,,Nil Calderó,MP (DI),4 (3),314,-,-,-,-,-,-,111,95,-,-,-,-,-,0,"3,15","17,48"
- - -,,Adrián Hernàndez,DL (C),34,2.748,-,-,-,-,-,-,654,572,-,-,-,-,-,0,"2,19","18,64"
- - -,,Carlos,"MP (C), DL (C)",2 (24),1.015,-,-,-,-,-,-,253,218,-,-,-,-,-,0,"1,86","17,2"
- - -,Ced,Sander Ballero,ME (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Adrián Roncal,"MP (D), DL (C)",34,2.994,-,-,-,-,-,-,770,652,-,-,-,-,-,0,"2,13","17,8"
- - -,,Alexis Olmedo,DF (DC),0 (1),29,-,-,-,-,-,-,19,14,-,-,-,-,-,0,-,-
- - -,Les,Alberto Delgado,DF/CR (I),32,2.791,-,-,-,-,-,-,1.400,1.134,-,-,-,-,-,1,"11,13","17,57"
- - -,,Juan Riquelme,ME (C),0 (1),42,-,-,-,-,-,-,21,19,-,-,-,-,-,0,-,-
- - -,,Álex Macías,DF/CR (I),7 (5),581,-,-,-,-,-,-,299,245,-,-,-,-,-,0,"9,29","19,05"
- - -,,Juan López,ME/MP (C),0 (29),976,-,-,-,-,-,-,358,309,-,-,-,-,-,0,"7,47","17,06"
- - -,,Fernando Pajarero,DF (DC),28,2.382,-,-,-,-,-,-,1.115,966,-,-,-,-,-,0,"12,09","15,15"
- - -,Seg,Julián Mahicas,DL (C),0 (8),122,-,-,-,-,-,-,29,23,-,-,-,-,-,0,0,"33,2"
- - -,,Nacho Muñoz,"ME (D), MP (DI), DL (C)",15 (12),1.329,-,-,-,-,-,-,418,351,-,-,-,-,-,0,"4,47","17,47"
- - -,,Fran Ortuño,DF (IC),27 (1),2.448,-,-,-,-,-,-,1.433,1.222,-,-,-,-,-,0,"11,69","3,38"
- - -,,Fran Viñuela,"MP (D), DL (C)",31,2.733,-,-,-,-,-,-,1.103,926,-,-,-,-,-,0,"4,51","17,49"
- - -,,Juanan,MC,32,2.400,-,-,-,-,-,-,1.332,1.194,-,-,-,-,-,0,"13,16","6,82"
- - -,,Ousmane Traoré,DF (C),31,2.790,-,-,-,-,-,-,1.594,1.393,-,-,-,-,-,0,"12,32","4,52"
- - -,Trn,Pol Domingo,DF (C),8 (1),601,-,-,-,-,-,-,336,273,-,-,-,-,-,0,"9,58","3,89"
- - -,,Iván Breñé,DL (C),0 (23),617,-,-,-,-,-,-,156,136,-,-,-,-,-,0,0,"20,86"
- - -,Seg,Jurgi Oteo,MP (DI),1 (5),249,-,-,-,-,-,-,92,77,-,-,-,-,-,0,"2,53","18,43"
- - -,,Marc Domènech,"MC, ME/MP (C)",12,979,-,-,-,-,-,-,490,442,-,-,-,-,-,0,"11,86","14,71"
- - -,Seg,Manu Viana,ME/MP (I),11 (11),1.292,-,-,-,-,-,-,405,329,-,-,-,-,-,0,"5,15","11,84"
- - -,Ced,Gori,ME/MP (C),0 (3),36,-,-,-,-,-,-,17,14,-,-,-,-,-,0,-,-
- - -,,Marc Vargas,DF/CR (D),30,2.462,-,-,-,-,-,-,1.267,1.126,-,-,-,-,-,0,"14,18","12,65"
- - -,,Aritz Gil,DF (C),30,2.612,-,-,-,-,-,-,1.519,1.229,-,-,-,-,-,1,"16,13","3,31"
- - -,,Ebuka Nwenyi,DF (IC),34,2.958,-,-,-,-,-,-,1.687,1.467,-,-,-,-,-,0,"11,32","3,65"
- - -,Seg,Akito Mukai,MP (D),0 (6),62,-,-,-,-,-,-,20,17,-,-,-,-,-,0,-,-
- - -,,Julen,DF/CR/ME (I),25 (11),2.161,-,-,-,-,-,-,1.098,928,-,-,-,-,-,0,"6,46","16,08"
- - -,,Mikel Jauregizar,ME/MP (C),9 (2),707,-,-,-,-,-,-,344,291,-,-,-,-,-,0,"13,11","11,71"
- - -,,Pana,DL (C),0 (16),414,-,-,-,-,-,-,113,95,-,-,-,-,-,0,"0,65","16,96"
- - -,,Diego Carrio,POR,0 (3),178,1,"2,03",0,1,85%,5,41,22,2,83%,3,0,-,0,"1,52","7,08"
- - -,,Vladimir Mustečić,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Marc Jurado,MP (DI),0 (2),74,-,-,-,-,-,-,36,31,-,-,-,-,-,0,"4,86","9,73"
- - -,,Julio Rodríguez,DF (C),0 (10),515,-,-,-,-,-,-,329,285,-,-,-,-,-,0,"15,38","2,27"
- - -,,Óscar De Frutos,DF (C),35,3.105,-,-,-,-,-,-,1.769,1.471,-,-,-,-,-,0,"10,58","3,94"
- - -,,Adrià De Mesa,DL (C),21 (2),1.735,-,-,-,-,-,-,453,380,-,-,-,-,-,0,"2,18","20,65"
- - -,,Alfredo Pedraza,DF (C),4 (3),406,-,-,-,-,-,-,248,227,-,-,-,-,-,0,"14,19","3,77"
- - -,,Jan Molina,"ME (C), MP (IC)",0 (5),119,-,-,-,-,-,-,55,48,-,-,-,-,-,0,"6,81","11,34"
- - -,,Urko Ardanaz,"MC, ME (C)",5 (24),1.364,-,-,-,-,-,-,666,579,-,-,-,-,-,1,"12,4","14,05"
- - -,,Kike Ribes,DF (C),7,630,-,-,-,-,-,-,341,312,-,-,-,-,-,0,"9,71","4,43"
- - -,,Brian Velázquez,DF (D),33,2.730,-,-,-,-,-,-,1.420,1.194,-,-,-,-,-,0,"12,69","11,8"
- - -,,Ángel,POR,28,2.180,31,"2,09",16,9,68%,39,542,281,8,87%,2,1,33%,1,"2,27","7,43"
- - -,,Adrián Pérez,"MC, ME (C)",30 (4),2.525,-,-,-,-,-,-,1.419,1.247,-,-,-,-,-,0,"6,7","13,44"
- - -,,Rodrigo Sanz,"ME (I), MP (IC), DL (C)",30,2.547,-,-,-,-,-,-,897,766,-,-,-,-,-,0,"5,27",17
- - -,,Alain,DF (C),0 (13),441,-,-,-,-,-,-,253,219,-,-,-,-,-,0,"13,47","7,14"
- - -,,Mawi,MP (D),0 (7),258,-,-,-,-,-,-,97,84,-,-,-,-,-,0,"3,14","17,09"
- - -,,Fernando Andrada,DF (D),0 (1),45,-,-,-,-,-,-,28,20,-,-,-,-,-,0,-,-
- - -,,Verde,"DF (C), MC",3 (4),351,-,-,-,-,-,-,203,174,-,-,-,-,-,0,"10,51","6,67"
- - -,,Hugo Alba,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Jorge Domínguez,"MC, ME (C), MP (D)",13 (1),1.074,-,-,-,-,-,-,460,384,-,-,-,-,-,0,"6,28","16,42"
- - -,,Gerard Barri,DF/CR/ME/MP (D),3,270,-,-,-,-,-,-,60,41,-,-,-,-,-,0,0,0
- - -,Seg,Eric,ME/MP (I),0 (7),94,-,-,-,-,-,-,30,24,-,-,-,-,-,0,"1,91","12,45"
- - -,Trn,Antonio Molina,"ME (I), MP (IC)",0 (1),45,-,-,-,-,-,-,15,12,-,-,-,-,-,0,-,-
- - -,,Pablo Cacharrón,POR,4 (5),580,14,"-4,31",4,7,64%,14,117,58,3,90%,3,0,0%,0,"2,79","8,84"
- - -,,Miquel Alorda,MP (DIC),1 (21),501,-,-,-,-,-,-,224,190,-,-,-,-,-,0,"6,29","16,35"
- - -,,Iker Varela,ME/MP (I),7,581,-,-,-,-,-,-,196,167,-,-,-,-,-,0,"5,11","15,96"
- - -,,Jordi Tur,"ME (DC), MP (C)",12,1.080,-,-,-,-,-,-,393,339,-,-,-,-,-,0,"11,75","17,5"
- - -,,Álvaro Meseguer,DF (C),30 (1),1.950,-,-,-,-,-,-,1.133,994,-,-,-,-,-,0,"12,88","6,83"
- - -,Fic,Álex Vila,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Hugo Esteban,MP (D),5 (18),866,-,-,-,-,-,-,316,272,-,-,-,-,-,0,"3,85","20,27"
- - -,Ced,Pau Fernández,DF/CR (I),0 (1),4,-,-,-,-,-,-,2,2,-,-,-,-,-,0,-,-
- - -,,Teddy Sutherland,"MP (DC), DL (C)",0 (1),2,-,-,-,-,-,-,1,1,-,-,-,-,-,0,-,-
- - -,,Nico Toca,"MC, ME (C)",4 (10),478,-,-,-,-,-,-,245,208,-,-,-,-,-,0,"6,78","12,24"
- - -,Les,Gonzalo Alfaro,DF (DC),10 (16),1.048,-,-,-,-,-,-,550,470,-,-,-,-,-,0,"12,54","9,27"
- - -,Les,Bruno,DF/CR (D),14 (16),1.757,-,-,-,-,-,-,945,808,-,-,-,-,-,0,"12,19","11,47"
- - -,,Peio Huestamendia,ME/MP (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Juanma,"DF (IC), CR (I)",27,2.310,-,-,-,-,-,-,1.213,1.039,-,-,-,-,-,0,"11,3","11,38"
- - -,,Rodri,POR,32,2.880,28,"5,98",17,12,71%,40,675,370,12,86%,2,0,-,0,"3,91","8,19"
- - -,,David Alfonso,DF/CR (I),2 (1),185,-,-,-,-,-,-,82,64,-,-,-,-,-,0,"7,78","18,49"
- - -,Seg,Juanjo Mateo,DF (D),6 (3),553,-,-,-,-,-,-,283,245,-,-,-,-,-,0,"8,46","15,62"
- - -,,Alex Cañizares,DL (C),0 (19),445,-,-,-,-,-,-,112,93,-,-,-,-,-,0,"0,61","23,26"
- - -,,Ander Zoilo,DF (I),11,859,-,-,-,-,-,-,449,374,-,-,-,-,-,0,"7,86","20,54"
- - -,Ofer,Matías Fernández,DF/CR (D),34,2.820,-,-,-,-,-,-,1.444,1.275,-,-,-,-,-,0,"14,68","10,37"
- - -,Juv,Gerardo,MP (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Seg,Álex Gil,ME/MP (D),5 (25),1.216,-,-,-,-,-,-,455,378,-,-,-,-,-,0,"4,51","18,36"
- - -,,Fran Carmona,DF (C),38,3.383,-,-,-,-,-,-,2.014,1.748,-,-,-,-,-,0,"15,96","3,01"
- - -,,Iván Aguilar,DL (C),36,2.861,-,-,-,-,-,-,750,641,-,-,-,-,-,0,"1,82","19,82"
- - -,,Aitor Fraga,POR,2,180,1,"2,82",0,1,85%,5,38,20,1,82%,3,0,0%,0,2,9
- - -,,Edu Adell,DF/CR (I),30,2.700,-,-,-,-,-,-,1.309,1.071,-,-,-,-,-,0,"15,6","14,27"
- - -,,Goyo Medina,DF/CR/ME (I),10 (1),966,-,-,-,-,-,-,434,344,-,-,-,-,-,0,"9,5","14,35"
- - -,,Carlos Daniel,DF (C),22,1.980,-,-,-,-,-,-,1.183,1.008,-,-,-,-,-,0,"15,86","3,09"
- - -,,Erik Aguado,ME/MP (D),35,2.661,-,-,-,-,-,-,1.085,912,-,-,-,-,-,0,"3,89","19,79"
- - -,Seg,Diego Esteban,MP (I),12,913,-,-,-,-,-,-,310,241,-,-,-,-,-,0,"9,36","7,2"
- - -,,Guaya,DF (IC),28,2.489,-,-,-,-,-,-,1.335,1.131,-,-,-,-,-,1,"10,59","16,78"
- - -,Seg,Luismi Luengo,DF (C),27,2.421,-,-,-,-,-,-,1.407,1.220,-,-,-,-,-,0,"14,35","3,64"
- - -,,Izan Flaño,DF (D),34,2.859,-,-,-,-,-,-,1.488,1.277,-,-,-,-,-,0,"13,16","13,32"
- - -,,Nene,"ME (I), MP (DIC)",32,2.405,-,-,-,-,-,-,862,740,-,-,-,-,-,0,"3,56","21,03"
- - -,,Varo,DF (C),6 (7),943,-,-,-,-,-,-,586,509,-,-,-,-,-,0,"14,22","4,01"
- - -,Seg,Jorge Aguirre,DL (C),22 (9),1.619,-,-,-,-,-,-,381,321,-,-,-,-,-,0,1,"17,51"
- - -,Seg,Mikel Goti,"ME (I), MP (DIC)",12 (7),988,-,-,-,-,-,-,364,297,-,-,-,-,-,0,"4,65","19,77"
- - -,Ret,Rúper,"MC, ME (C)",31,2.462,-,-,-,-,-,-,1.405,1.250,-,-,-,-,-,0,"12,58","7,35"
- - -,Seg,Pipa,ME/MP (C),0 (2),39,-,-,-,-,-,-,13,11,-,-,-,-,-,0,-,-
- - -,,Dani Plomer,"MP (I), DL (C)",33,2.784,-,-,-,-,-,-,753,629,-,-,-,-,-,0,"1,91","17,52"
- - -,Seg,Joel Arumí,DF/CR (I),33,2.754,-,-,-,-,-,-,1.474,1.283,-,-,-,-,-,0,"13,73","11,08"
- - -,Pet,Miguel Ángel Brau,DF/CR/ME/MP (I),6 (15),748,-,-,-,-,-,-,358,296,-,-,-,-,-,0,"5,78","22,38"
- - -,,Sergio Neira,MP (IC),1 (1),124,-,-,-,-,-,-,43,35,-,-,-,-,-,0,"4,35","18,87"
- - -,,Iván Martínez,ME/MP (I),32,2.871,-,-,-,-,-,-,1.014,861,-,-,-,-,-,0,"4,83","19,53"
- - -,,Álvaro,ME/MP (C),38 (1),2.203,-,-,-,-,-,-,797,677,-,-,-,-,-,0,"10,87","17,36"
- - -,,Joel Ruiz,POR,1 (2),194,3,"0,25",4,0,72%,4,48,41,2,84%,3,0,-,1,"1,86","9,74"
- - -,,Kevin Toner,DF (C),3 (7),748,-,-,-,-,-,-,421,381,-,-,-,-,-,0,"13,84","3,37"
- - -,,Daniel Garrido,"MC, ME (C)",12,1.080,-,-,-,-,-,-,619,558,-,-,-,-,-,0,"16,33","5,75"
- - -,,Ransford Selasi,"MC, ME (C)",3 (15),477,-,-,-,-,-,-,261,236,-,-,-,-,-,0,"12,08","4,91"
- - -,,Martí Soler,ME (C),31,2.078,-,-,-,-,-,-,1.006,873,-,-,-,-,-,0,"13,21","12,78"
- - -,,Markitos,DL (C),26 (9),2.552,-,-,-,-,-,-,612,516,-,-,-,-,-,0,"1,09","22,25"
- - -,,Carlos Mattheus,ME/MP (I),17 (6),1.563,-,-,-,-,-,-,535,468,-,-,-,-,-,0,"2,02","15,37"
- - -,,Jacobo Cornejo,ME/MP (D),6 (15),947,-,-,-,-,-,-,343,287,-,-,-,-,-,0,"2,38","12,64"
- - -,,Aitor Lorea,ME/MP (D),0 (14),329,-,-,-,-,-,-,150,137,-,-,-,-,-,0,"5,74","16,41"
- - -,,Aitor Albizu,"MC, ME (C)",33,2.813,-,-,-,-,-,-,1.584,1.366,-,-,-,-,-,0,"18,27","5,92"
- - -,,Javi Lancho,DF/CR/MP (I),0 (6),162,-,-,-,-,-,-,68,59,-,-,-,-,-,0,5,"26,67"
- - -,,Eneko Delgado,"ME (C), MP (IC)",0 (2),98,-,-,-,-,-,-,34,33,-,-,-,-,-,0,"4,59","27,55"
- - -,,Paul Álvarez,DF (DC),30,2.647,-,-,-,-,-,-,1.472,1.261,-,-,-,-,-,0,"11,73","3,3"
- - -,,Assane,"MC, ME (C)",31,2.745,-,-,-,-,-,-,1.572,1.414,-,-,-,-,-,0,"12,75","9,9"
- - -,,Álex Revuelta,DF (C),32,2.823,-,-,-,-,-,-,1.698,1.484,-,-,-,-,-,0,"17,98","3,86"
- - -,,Abde,"ME (I), MP (DI), DL (C)",22,1.830,-,-,-,-,-,-,608,528,-,-,-,-,-,0,"4,48","17,85"
- - -,,Jaime González,POR,34,2.946,55,"-3,38",33,20,67%,62,693,441,5,86%,3,0,0%,2,"3,42","7,94"
- - -,,Lucas Ricoy,DL (C),0 (10),295,-,-,-,-,-,-,78,66,-,-,-,-,-,0,0,"24,41"
- - -,,Miguel Ángel Ruiz,DF/CR (D),2 (7),364,-,-,-,-,-,-,143,123,-,-,-,-,-,0,"7,17","11,87"
- - -,,Dani Sandoval,ME/MP (C),3 (13),776,-,-,-,-,-,-,385,323,-,-,-,-,-,0,"9,16","14,15"
- - -,,Jesús Romero,POR,22 (2),1.840,24,"-1,62",14,10,64%,17,454,281,9,91%,2,1,33%,1,"3,67","6,46"
- - -,Ced,Ratinho,MP (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Aarón Ochoa,ME/MP (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Pau Martínez,"ME (D), MP (DI)",7 (20),1.037,-,-,-,-,-,-,381,335,-,-,-,-,-,0,"1,48","22,3"
- - -,,Daniel Sandoval,MP (I),2 (22),477,-,-,-,-,-,-,163,137,-,-,-,-,-,0,"1,89","16,79"
- - -,,Joserra,DF/CR (I),25,1.907,-,-,-,-,-,-,985,856,-,-,-,-,-,0,"10,62","15,06"
- - -,,Ángel Mancheño,DF/CR/MP (D),9 (2),604,-,-,-,-,-,-,260,231,-,-,-,-,-,0,"2,98","20,41"
- - -,Juv,Adrián Villanueva,DF (D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Relu,"MC, ME/MP (C)",29,2.043,-,-,-,-,-,-,1.047,891,-,-,-,-,-,0,"14,27","15,33"
- - -,,Xanet Oláiz,DF (IC),0 (3),131,-,-,-,-,-,-,62,49,-,-,-,-,-,0,"8,24","19,92"
- - -,,Álex Rasines,DF/CR (D),25,2.250,-,-,-,-,-,-,1.147,982,-,-,-,-,-,0,"13,92","15,76"
