,,,,,,,,,,,
Inf,Rec,Nombre,Final,Sueldo,Sueldo máx.,Mín PS,Representante,Valor de traspaso,Precio Mín,Precio Máx,Cláus. Resc.
,- - -,- -,30/6/2024,2.000 € p/m,N/D,N/D,-,22m € - 210m €,-,-,235m €
,- - -,- -,30/6/2025,1.400 € p/m,N/D,N/D,-,30m € - 325m €,-,-,350m €
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,Sin datos,-,-,145m €
Seg,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0€,-,-,325m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Antonio Vargas,0 € - 8m €,-,-,225m €
,- - -,- -,30/6/2026,12.750 € p/m,N/D,N/D,-,12m € - 120m €,-,-,250m €
Pet,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,10m € - 100m €,-,-,425m €
Opc,- - -,- -,30/6/2024,3.200 € p/m,N/D,N/D,Žarko Pal,4m € - 14m €,-,-,275m €
,- - -,- -,30/6/2025,8.250 € p/m,N/D,N/D,José Andrés Domínguez,"170m € - 1,7M €",-,-,"1,1M €"
,- - -,- -,30/6/2026,7.000 € p/m,N/D,N/D,-,110m € - 350m €,-,-,275m €
,- - -,- -,30/6/2026,14.500 € p/m,N/D,N/D,Daniel Rodríguez,No a la venta,-,-,195m €
Ofer,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,"1,5m € - 4m €",-,-,-
,- - -,- -,30/6/2025,1.600 € p/m,N/D,N/D,-,100m € - 325m €,-,-,245m €
,- - -,- -,30/6/2025,3.600 € p/m,N/D,N/D,-,9m € - 90m €,-,-,-
,- - -,- -,30/6/2025,2.100 € p/m,N/D,N/D,-,0 € - 22m €,-,-,-
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,-,"2,5m € - 28m €",-,-,300m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,Daniel Martín García,"2,5m € - 9m €",-,-,190m €
,- - -,- -,30/6/2026,6.000 € p/m,N/D,N/D,Javi Barbero,190m € - 600m €,-,-,375m €
,- - -,- -,30/6/2027,7.000 € p/m,N/D,N/D,-,12m € - 120m €,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,50m € - 475m €,-,-,165m €
,- - -,- -,30/6/2025,3.600 € p/m,N/D,N/D,Ignacio Tinoco,22m € - 220m €,-,-,210m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,500 € - 3m €,-,-,-
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0 € - 7m €,-,-,200m €
,- - -,- -,30/6/2024,1.900 € p/m,N/D,N/D,David Hervás,"0 € - 2,5m €",-,-,215m €
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,José Luis Ramos,35m € - 325m €,-,-,225m €
,- - -,- -,30/6/2025,3.900 € p/m,N/D,N/D,-,20m € - 200m €,-,-,220m €
,- - -,- -,30/6/2024,1.900 € p/m,N/D,N/D,-,0€,-,-,120m €
,- - -,- -,30/6/2024,1.900 € p/m,N/D,N/D,-,"0 € - 2,5m €",-,-,-
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,Santiago Berrocal,8m € - 80m €,-,-,215m €
,- - -,- -,30/6/2024,1.900 € p/m,N/D,N/D,-,0€,-,-,225m €
,- - -,- -,30/6/2026,10.750 € p/m,N/D,N/D,-,10m € - 100m €,-,-,250m €
Les,- - -,- -,30/6/2024,2.200 € p/m,N/D,N/D,-,2m € - 6m €,-,-,235m €
Fic,- - -,- -,16/6/2028,1.600 € p/m,N/D,N/D,Julio César Rodríguez,0€,-,-,225m €
,- - -,- -,30/6/2026,5.250 € p/m,N/D,N/D,Javier Llaneza,26m € - 250m €,-,-,175m €
,- - -,- -,30/6/2024,2.100 € p/m,N/D,N/D,-,0 € - 5m €,-,-,-
,- - -,- -,30/6/2027,4.400 € p/m,N/D,N/D,-,35m € - 375m €,-,-,-
,- - -,- -,30/6/2027,14.250 € p/m,N/D,N/D,-,"160m € - 1,6M €",-,-,"2,1M €"
,- - -,- -,30/6/2025,12.750 € p/m,N/D,N/D,Iago Menéndez,100m € - 325m €,-,-,210m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,26m € - 275m €,-,-,145m €
,- - -,- -,30/6/2024,2.100 € p/m,N/D,N/D,Daniel Abal,0 € - 7m €,-,-,-
,- - -,- -,30/6/2026,1.900 € p/m,N/D,N/D,Axel Giménez,26m € - 275m €,-,-,-
,- - -,- -,30/6/2026,5.750 € p/m,N/D,N/D,Xavi Aguirre,12m € - 120m €,-,-,230m €
,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Antonio Marcén,3m € - 9m €,-,-,225m €
Ret,- - -,- -,30/6/2024,3.100 € p/m,N/D,N/D,-,0€,-,-,"26,5m €"
Trn,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,-,0€,-,-,400m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,500 € - 3m €,-,-,200m €
,- - -,- -,30/6/2024,2.400 € p/m,N/D,N/D,Ramón Siles,0€,-,-,21m €
,- - -,- -,30/6/2025,13.750 € p/m,N/D,N/D,Daniel Abal,30m € - 325m €,-,-,205m €
Ret,- - -,- -,30/6/2024,2.200 € p/m,N/D,N/D,Marcos Ariño,0€,-,-,175m €
,- - -,- -,30/6/2026,5.500 € p/m,N/D,N/D,-,28m € - 300m €,-,-,"1,4M €"
,- - -,- -,30/6/2025,5.500 € p/m,N/D,N/D,-,22m € - 220m €,-,-,185m €
,- - -,- -,30/6/2024,2.000 € p/m,N/D,N/D,-,0€,-,-,200m €
,- - -,- -,30/6/2027,4.000 € p/m,N/D,N/D,-,35m € - 375m €,-,-,-
,- - -,- -,30/6/2026,5.750 € p/m,N/D,N/D,Edu Dieste,12m € - 35m €,-,-,120m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Daniel Rodríguez,"0 € - 2,5m €",-,-,190m €
Ced,- - -,- -,23/7/2025,2.200 € p/m,N/D,N/D,Rodrigo Casanova,28m € - 275m €,-,-,275m €
,- - -,- -,30/6/2025,2.100 € p/m,N/D,N/D,-,28m € - 275m €,-,-,225m €
,- - -,- -,30/6/2028,9.000 € p/m,N/D,N/D,Slobodan Dragojević,"250m € - 2,6M €",-,-,"2,2M €"
,- - -,- -,30/6/2025,1.600 € p/m,N/D,N/D,Miguel Lemos,12m € - 120m €,-,-,350m €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,Julio César Rodríguez,40m € - 375m €,-,-,"1,5M €"
,- - -,- -,30/6/2026,1.600 € p/m,N/D,N/D,Daniel Abal,35m € - 350m €,-,-,250m €
,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Aina Andreu,0 € - 8m €,-,-,225m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,0€,-,-,250m €
,- - -,- -,30/6/2024,2.300 € p/m,N/D,N/D,-,0 € - 2m €,-,-,-
,- - -,- -,30/6/2025,14.250 € p/m,N/D,N/D,Marc Montalbán,26m € - 250m €,-,-,205m €
,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Pablo Fernández,0 € - 6m €,-,-,200m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,12m € - 120m €,-,-,215m €
Ced,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,-,0 € - 18m €,-,-,130m €
,- - -,- -,30/6/2026,4.700 € p/m,N/D,N/D,-,35m € - 350m €,-,-,-
,- - -,- -,30/6/2025,1.900 € p/m,N/D,N/D,Julián Guillén,0 € - 70m €,-,-,1M €
,- - -,- -,30/6/2025,3.900 € p/m,N/D,N/D,-,26m € - 250m €,-,-,-
Seg,- - -,- -,30/6/2025,1.400 € p/m,N/D,N/D,-,90m € - 275m €,-,-,-
Seg,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,José Luis Ramos,"1,7M € - 3,7M €",-,-,"1,7M €"
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,0 € - 8m €,-,-,-
,- - -,- -,30/6/2026,21.500 € p/m,N/D,N/D,Rodrigo Casanova,"180m € - 1,8M €",-,-,"2,4M €"
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,-,30m € - 325m €,-,-,235m €
,- - -,- -,30/6/2025,3.900 € p/m,N/D,N/D,-,16m € - 170m €,-,-,215m €
Pet,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,22m € - 230m €,-,-,275m €
Seg,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,Santiago Berrocal,"500 € - 2,5m €",-,-,210m €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,"0 € - 2,5m €",-,-,190m €
Seg,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0 € - 8m €,-,-,215m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,500 € - 3m €,-,-,215m €
,- - -,- -,30/6/2025,3.600 € p/m,N/D,N/D,-,10m € - 100m €,-,-,220m €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,0 € - 9m €,-,-,-
,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,-,"0 € - 1,5m €",-,-,235m €
Seg,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Daniel Abal,"2,5m € - 9m €",-,-,225m €
Ced,- - -,- -,30/6/2026,1.500 € p/m,N/D,N/D,-,210m € - 650m €,-,-,210m €
,- - -,- -,30/6/2025,3.100 € p/m,N/D,N/D,Julián Guillén,40m € - 375m €,-,-,325m €
,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,-,20m € - 65m €,-,-,225m €
Seg,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Javier Llaneza,0 € - 7m €,-,-,190m €
,- - -,- -,30/6/2024,450 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2025,14.000 € p/m,N/D,N/D,Dolores Muñiz,20m € - 200m €,-,-,155m €
Trn,- - -,- -,30/6/2024,2.900 € p/m,N/D,N/D,-,0€,-,-,475m €
Seg,- - -,- -,30/6/2024,6.750 € p/m,N/D,N/D,Javier Llaneza,0 € - 8m €,-,-,375m €
Pet,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,0€,-,-,350m €
,- - -,- -,30/6/2025,13.500 € p/m,N/D,N/D,José Luis Ramos,85m € - 275m €,-,-,185m €
,- - -,- -,30/6/2024,3.700 € p/m,N/D,N/D,Julio César Rodríguez,2m € - 6m €,-,-,400m €
,- - -,- -,30/6/2025,10.750 € p/m,N/D,N/D,Alfredo Ortí,0 € - 28m €,-,-,99m €
Seg,- - -,- -,30/6/2024,4.800 € p/m,N/D,N/D,-,7m € - 24m €,-,-,650m €
Les,- - -,- -,30/6/2026,19.000 € p/m,N/D,N/D,Marc Montalbán,35m € - 350m €,-,-,240m €
,- - -,- -,30/6/2026,1.600 € p/m,N/D,N/D,Miguel Ángel Parrales,"130m € - 1,3M €",-,-,3M €
,- - -,- -,30/6/2026,1.900 € p/m,N/D,N/D,Santiago Berrocal,70m € - 700m €,-,-,225m €
,- - -,- -,30/6/2026,1.700 € p/m,N/D,N/D,Julio César Rodríguez,"650m € - 1,5M €",-,-,650m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0 € - 5m €,-,-,200m €
Seg,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,24m € - 240m €,-,-,150m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,14m € - 140m €,-,-,155m €
,- - -,- -,30/6/2026,5.500 € p/m,N/D,N/D,-,28m € - 275m €,-,-,195m €
,- - -,- -,30/6/2026,4.800 € p/m,N/D,N/D,-,130m € - 425m €,-,-,275m €
,- - -,- -,30/6/2026,2.400 € p/m,N/D,N/D,Santiago Berrocal,30m € - 325m €,-,-,-
,- - -,- -,30/6/2025,5.500 € p/m,N/D,N/D,Antonio Marcén,20m € - 210m €,-,-,215m €
,- - -,- -,30/6/2025,11.000 € p/m,N/D,N/D,-,70m € - 230m €,-,-,235m €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,José Andrés Domínguez,"110m € - 1,1M €",-,-,425m €
Des,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,Marc Montalbán,"150m € - 1,5M €",-,-,425m €
,- - -,- -,30/6/2025,4.400 € p/m,N/D,N/D,-,325m € - 1M €,-,-,800m €
,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,-,55m € - 550m €,-,-,600m €
Seg,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,-,0 € - 6m €,-,-,225m €
,- - -,- -,30/6/2024,1.900 € p/m,N/D,N/D,-,0€,-,-,235m €
,- - -,- -,30/6/2024,2.200 € p/m,N/D,N/D,Ramón Siles,0€,-,-,"21,5m €"
,- - -,- -,30/6/2025,5.250 € p/m,N/D,N/D,Antonio Marcén,7m € - 75m €,-,-,450m €
,- - -,- -,30/6/2025,4.300 € p/m,N/D,N/D,Antonio Valiente,275m € - 850m €,-,-,50M €
,- - -,- -,30/6/2025,2.400 € p/m,N/D,N/D,-,20m € - 200m €,-,-,140m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,16m € - 150m €,-,-,150m €
,- - -,- -,30/6/2026,22.000 € p/m,N/D,N/D,Antonio José Albarrán,"750m € - 7,6M €",-,-,"4,2M €"
Seg,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,Quim Guillén,8m € - 80m €,-,-,725m €
Seg,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0€,-,-,375m €
,- - -,- -,30/6/2025,4.200 € p/m,N/D,N/D,-,9m € - 90m €,-,-,-
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,Nikos Meletidis,0 € - 2m €,-,-,165m €
Seg,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0€,-,-,225m €
Les,- - -,- -,30/6/2025,3.400 € p/m,N/D,N/D,-,20m € - 200m €,-,-,425m €
,- - -,- -,30/6/2026,4.600 € p/m,N/D,N/D,Xavi Aguirre,85m € - 850m €,-,-,525m €
,- - -,- -,30/6/2025,14.000 € p/m,N/D,N/D,Daniel Abal,80m € - 250m €,-,-,170m €
,- - -,- -,30/6/2025,2.900 € p/m,N/D,N/D,-,22m € - 220m €,-,-,215m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0 € - 6m €,-,-,-
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,Daniel Martín García,26m € - 250m €,-,-,325m €
,- - -,- -,30/6/2025,8.000 € p/m,N/D,N/D,-,65m € - 210m €,-,-,215m €
,- - -,- -,30/6/2025,5.250 € p/m,N/D,N/D,-,28m € - 275m €,-,-,175m €
,- - -,- -,30/6/2026,3.700 € p/m,N/D,N/D,Ramón Siles,70m € - 700m €,-,-,350m €
Seg,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,Sin datos,-,-,350m €
,- - -,- -,30/6/2024,2.400 € p/m,N/D,N/D,-,0€,-,-,-
Ret,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,-,0€,-,-,110m €
,- - -,- -,30/6/2026,4.000 € p/m,N/D,N/D,Santiago Berrocal,110m € - 350m €,-,-,275m €
,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0 € - 8m €,-,-,190m €
,- - -,- -,30/6/2026,10.000 € p/m,N/D,N/D,-,45m € - 475m €,-,-,250m €
,- - -,- -,30/6/2025,4.500 € p/m,N/D,N/D,-,8m € - 80m €,-,-,170m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0 € - 60m €,-,-,350m €
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Antonio Marcén,Sin datos,-,-,-
Juv,- - -,- -,30/6/2028,275 € p/m,N/D,N/D,Gabri Villar,Sin datos,-,-,-
,- - -,- -,30/6/2025,10.000 € p/m,N/D,N/D,-,9m € - 95m €,-,-,190m €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,2m € - 6m €,-,-,-
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,0€,-,-,160m €
Seg,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,-,150m € - 475m €,-,-,425m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,Julio César Rodríguez,18m € - 180m €,-,-,150m €
,- - -,- -,30/6/2026,5.000 € p/m,N/D,N/D,-,20m € - 200m €,-,-,185m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,Edu Dieste,0€,-,-,145m €
,- - -,- -,30/6/2025,1.600 € p/m,N/D,N/D,-,110m € - 350m €,-,-,350m €
,- - -,- -,30/6/2024,1.200 € p/m,N/D,N/D,-,0 € - 8m €,-,-,-
Seg,- - -,- -,30/6/2024,2.600 € p/m,N/D,N/D,Julián Guillén,"475m € - 1,5M €",-,-,475m €
,- - -,- -,30/6/2025,3.300 € p/m,N/D,N/D,-,55m € - 180m €,-,-,190m €
,- - -,- -,30/6/2025,3.300 € p/m,N/D,N/D,-,9m € - 90m €,-,-,-
,- - -,- -,30/6/2025,18.500 € p/m,N/D,N/D,Santiago Berrocal,75m € - 250m €,-,-,175m €
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,95m € - 300m €,-,-,175m €
,- - -,- -,30/6/2027,2.900 € p/m,N/D,N/D,Antonio José Albarrán,"350m € - 3,6M €",-,-,"3,2M €"
,- - -,- -,30/6/2026,6.250 € p/m,N/D,N/D,-,28m € - 275m €,-,-,220m €
,- - -,- -,30/6/2025,1.500 € p/m,N/D,N/D,Antonio José Albarrán,"110m € - 1,1M €",-,-,300m €
,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,-,18m € - 190m €,-,-,235m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,0€,-,-,93m €
Ret,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0€,-,-,140m €
Seg,- - -,- -,30/6/2025,6.750 € p/m,N/D,N/D,David Hervás,24m € - 240m €,-,-,170m €
Ofer,- - -,- -,30/6/2025,3.600 € p/m,N/D,N/D,Juan Antonio Yubero,180m €,-,-,450m €
,- - -,- -,30/6/2026,18.250 € p/m,N/D,N/D,Antonio Valiente,"160m € - 1,6M €",-,-,"2,9M €"
Seg,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,"2,5m € - 8m €",-,-,200m €
,- - -,- -,30/6/2025,5.500 € p/m,N/D,N/D,Antonio Marcén,80m € - 250m €,-,-,170m €
,- - -,- -,30/6/2026,6.750 € p/m,N/D,N/D,David Hervás,95m € - 300m €,-,-,235m €
,- - -,- -,30/6/2025,2.700 € p/m,N/D,N/D,-,35m € - 325m €,-,-,220m €
,- - -,- -,30/6/2025,3.500 € p/m,N/D,N/D,-,50m € - 160m €,-,-,170m €
Ret,- - -,- -,30/6/2024,2.000 € p/m,N/D,N/D,Javier Llaneza,0€,-,-,"23,5m €"
,- - -,- -,30/6/2025,4.400 € p/m,N/D,N/D,-,90m € - 300m €,-,-,-
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,0 € - 4m €,-,-,-
,- - -,- -,30/6/2025,1.900 € p/m,N/D,N/D,-,22m € - 220m €,-,-,-
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,"2,5m € - 8m €",-,-,-
Fic,- - -,- -,30/6/2024,2.000 € p/m,N/D,N/D,-,0€,-,-,225m €
,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,-,18m € - 170m €,-,-,200m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Pablo Fernández,0 € - 7m €,-,-,200m €
,- - -,- -,30/6/2026,12.500 € p/m,N/D,N/D,-,110m € - 350m €,-,-,245m €
Seg,- - -,- -,30/6/2024,1.800 € p/m,N/D,N/D,-,"1,5m € - 4,5m €",-,-,180m €
,- - -,- -,30/6/2025,2.800 € p/m,N/D,N/D,-,18m € - 180m €,-,-,140m €
,- - -,- -,30/6/2026,1.600 € p/m,N/D,N/D,Javier Llaneza,No a la venta,-,-,205m €
,- - -,- -,30/6/2025,1.800 € p/m,N/D,N/D,-,22m € - 220m €,-,-,300m €
,- - -,- -,30/6/2026,1.700 € p/m,N/D,N/D,-,24m € - 230m €,-,-,215m €
,- - -,- -,30/6/2025,2.300 € p/m,N/D,N/D,Juan Antonio Yubero,90m € - 900m €,-,-,10M €
,- - -,- -,30/6/2026,2.500 € p/m,N/D,N/D,-,No a la venta,-,-,-
,- - -,- -,30/6/2025,1.300 € p/m,N/D,N/D,-,9m € - 28m €,-,-,135m €
,- - -,- -,30/6/2025,3.900 € p/m,N/D,N/D,-,18m € - 180m €,-,-,210m €
,- - -,- -,30/6/2025,12.000 € p/m,N/D,N/D,David Hervás,22m € - 220m €,-,-,180m €
,- - -,- -,30/6/2026,5.750 € p/m,N/D,N/D,David Hervás,No a la venta,-,-,155m €
,- - -,- -,30/6/2026,17.750 € p/m,N/D,N/D,Baljit Chothe,No a la venta,-,-,230m €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,-,"1,5m € - 6m €",-,-,180m €
,- - -,- -,30/6/2025,1.400 € p/m,N/D,N/D,-,8m € - 80m €,-,-,-
,- - -,- -,30/6/2026,5.000 € p/m,N/D,N/D,-,60m € - 190m €,-,-,130m €
,- - -,- -,30/6/2028,18.750 € p/m,N/D,N/D,Julio César Rodríguez,Sin datos,-,-,"5,75M €"
,- - -,- -,30/6/2026,13.000 € p/m,N/D,N/D,-,110m € - 350m €,-,-,400m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,"2,5m € - 7m €",-,-,-
,- - -,- -,30/6/2025,3.400 € p/m,N/D,N/D,-,9m € - 90m €,-,-,-
Seg,- - -,- -,30/6/2024,2.700 € p/m,N/D,N/D,-,40m € - 400m €,-,-,10M €
Fic,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,0€,-,-,130m €
,- - -,- -,30/6/2026,9.750 € p/m,N/D,N/D,-,28m € - 275m €,-,-,240m €
,- - -,- -,30/6/2025,9.750 € p/m,N/D,N/D,-,8m € - 80m €,-,-,145m €
,- - -,- -,30/6/2026,5.750 € p/m,N/D,N/D,-,0 € - 40m €,-,-,135m €
Les,- - -,- -,30/6/2026,1.700 € p/m,N/D,N/D,-,70m € - 230m €,-,-,190m €
,- - -,- -,30/6/2029,1.500 € p/m,N/D,N/D,Julio César Rodríguez,95m € - 950m €,-,-,325m €
,- - -,- -,30/6/2026,2.700 € p/m,N/D,N/D,Daniel Abal,8m € - 85m €,-,-,250m €
,- - -,- -,30/6/2025,4.000 € p/m,N/D,N/D,-,9m € - 85m €,-,-,250m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,Javier Llaneza,2m € - 6m €,-,-,160m €
,- - -,- -,30/6/2026,50.000 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,"17,5M €"
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,"0 € - 4,5m €",-,-,-
Fic,- - -,- -,30/6/2025,6.500 € p/m,N/D,N/D,-,0€,-,-,600m €
,- - -,- -,30/6/2028,1.300 € p/m,N/D,N/D,José Andrés Domínguez,40m € - 400m €,-,-,155m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,"1,5m € - 5m €",-,-,190m €
,- - -,- -,30/6/2025,5.250 € p/m,N/D,N/D,-,7m € - 70m €,-,-,175m €
,- - -,- -,30/6/2025,9.500 € p/m,N/D,N/D,-,7m € - 75m €,-,-,185m €
,- - -,- -,30/6/2026,4.000 € p/m,N/D,N/D,-,120m € - 400m €,-,-,250m €
,- - -,- -,30/6/2026,5.000 € p/m,N/D,N/D,Julián Guillén,35m € - 375m €,-,-,205m €
,- - -,- -,30/6/2025,1.600 € p/m,N/D,N/D,-,50m € - 475m €,-,-,325m €
,- - -,- -,30/6/2025,3.000 € p/m,N/D,N/D,José Luis Ramos,14m € - 140m €,-,-,275m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0€,-,-,525m €
,- - -,- -,30/6/2024,1.400 € p/m,N/D,N/D,Santiago Berrocal,0 € - 30m €,-,-,475m €
,- - -,- -,30/6/2025,1.700 € p/m,N/D,N/D,-,20m € - 190m €,-,-,215m €
,- - -,- -,30/6/2026,4.900 € p/m,N/D,N/D,-,45m € - 425m €,-,-,215m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,0€,-,-,350m €
,- - -,- -,30/6/2025,3.800 € p/m,N/D,N/D,-,28m € - 275m €,-,-,230m €
,- - -,- -,30/6/2025,15.000 € p/m,N/D,N/D,Aina Andreu,24m € - 230m €,-,-,180m €
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,Javier Llaneza,0€,-,-,63m €
,- - -,- -,30/6/2026,3.500 € p/m,N/D,N/D,Juan Antonio Yubero,Sin datos,-,-,5M €
Les,- - -,- -,30/6/2024,1.500 € p/m,N/D,N/D,-,0 € - 5m €,-,-,190m €
,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,Gabri Villar,0€,-,-,165m €
Seg,- - -,- -,30/6/2024,1.200 € p/m,N/D,N/D,-,2m € - 22m €,-,-,-
,- - -,- -,30/6/2025,4.500 € p/m,N/D,N/D,Santiago Berrocal,35m € - 375m €,-,-,235m €
,- - -,- -,30/6/2026,12.500 € p/m,N/D,N/D,Antonio Vargas,12m € - 120m €,-,-,250m €
,- - -,- -,30/6/2025,2.900 € p/m,N/D,N/D,-,4m € - 40m €,-,-,110m €
Ret,- - -,- -,30/6/2024,2.100 € p/m,N/D,N/D,-,0€,-,-,-
,- - -,- -,30/6/2026,9.250 € p/m,N/D,N/D,-,50m € - 475m €,-,-,205m €
,- - -,- -,30/6/2026,4.500 € p/m,N/D,N/D,-,120m € - 375m €,-,-,225m €
,- - -,- -,30/6/2024,2.700 € p/m,N/D,N/D,-,28m € - 275m €,-,-,10M €
,- - -,- -,30/6/2026,1.300 € p/m,N/D,N/D,-,No a la venta,-,-,180m €
,- - -,- -,30/6/2025,2.300 € p/m,N/D,N/D,-,150m € - 475m €,-,-,10M €
,- - -,- -,30/6/2026,6.000 € p/m,N/D,N/D,-,28m € - 275m €,-,-,230m €
Ced,- - -,- -,30/6/2025,2.400 € p/m,N/D,N/D,-,20m € - 190m €,-,-,175m €
,- - -,- -,30/6/2026,4.400 € p/m,N/D,N/D,-,100m € - 325m €,-,-,-
,- - -,- -,30/6/2024,1.700 € p/m,N/D,N/D,-,0€,-,-,45m €
,- - -,- -,30/6/2025,3.100 € p/m,N/D,N/D,Álvaro Trigo,35m € - 350m €,-,-,250m €
,- - -,- -,30/6/2026,18.000 € p/m,N/D,N/D,José Luis Ramos,10m € - 95m €,-,-,215m €
Les,- - -,- -,30/6/2026,1.400 € p/m,N/D,N/D,Javier Llaneza,No a la venta,-,-,140m €
,- - -,- -,30/6/2026,13.500 € p/m,N/D,N/D,David Hervás,95m € - 300m €,-,-,180m €
Seg,- - -,- -,30/6/2024,1.600 € p/m,N/D,N/D,-,0€,-,-,350m €
,- - -,- -,30/6/2026,6.500 € p/m,N/D,N/D,-,28m € - 300m €,-,-,825m €
,- - -,- -,30/6/2024,1.300 € p/m,N/D,N/D,-,26m € - 275m €,-,-,325m €
,- - -,- -,30/6/2025,5.500 € p/m,N/D,N/D,José Luis Ramos,26m € - 275m €,-,-,180m €
