,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Club,Posición,Altura,Peso,Edad,Pierna buena,Personalidad,Conocimientos,Felicidad general,Media,Nac,RM,Estilo
- - -,,Brian Pallarés,Orihuela,ME/MP (I),179 cm,74 kg,31,Solo izquierda,,---,,7.24,ESP,Decente,Creativo
- - -,,Iñigo Baqué,A. Getxo,"DF (C), MC, ME (C)",188 cm,81 kg,27,Derecha,,---,,6.69,ESP,Decente,Técnico
- - -,,Raúl Tavares,R. Majadahonda,ME (C),180 cm,66 kg,25,Derecha,,---,,6.47,ESP,Decente,Físico
- - -,,Mario Da Costa,Lugo,"MP (C), DL (C)",182 cm,68 kg,23,Derecha,,---,,6.45,ESP,Decente,Inteligente
- - -,,Lolo Garrido,Sta. Eulalia,"MC, ME (C)",179 cm,75 kg,31,Solo derecha,,---,,6.75,ESP,Decente,Técnico
- - -,,Tana,Mensajero,"ME (C), MP (DIC)",168 cm,64 kg,33,Derecha,,---,,07.07,ESP,Decente,Creativo
- - -,,Pelón,Águilas,"DF (C), MC",187 cm,78 kg,29,Solo derecha,,---,,6.86,ESP,Decente,Líder
- - -,,Omar Ouhdadi,Manresa,"ME (I), MP (DI)",181 cm,72 kg,24,Izquierda,,---,,7.11,ESP,Decente,Técnico
- - -,,José Ortega,Badalona Fut,POR,185 cm,79 kg,32,Derecha,,---,,6.76,ESP,Decente,Distribuidor
- - -,,Ekain Díaz de Alda,Real San Sebastián C,DF (D),176 cm,69 kg,20,Derecha,,---,,-,ESP,Decente,Físico
- - -,,Alpha Bagayoko,Manresa,DL (C),180 cm,75 kg,24,Izquierda,,---,,6.79,MLI,Decente,Físico
- - -,,Antonio Crespo,Barbastro,"ME (D), MP (DI)",167 cm,60 kg,25,Derecha,,---,,7.12,ESP,Decente,Técnico
- - -,,David Arredondo,A. Bilbao,ME (C),180 cm,71 kg,18,Sin datos,,---,,-,ESP,Decente,Físico
- - -,Seg,Niko Takahashi,Barcelona B,DF/CR (I),173 cm,62 kg,18,Solo izquierda,,---,,6.97,JPN,Decente,Físico
- - -,,Pepe Carmona,San Roque de Lepe,ME/MP (D),177 cm,72 kg,29,Solo derecha,,---,,07.04,ESP,Decente,Técnico
- - -,,José Viguera,Náxara,DF (C),186 cm,78 kg,26,Izquierda,,---,,6.68,ESP,Decente,Físico
- - -,,Juanma,U. Adarve,DF (C),186 cm,77 kg,34,Solo derecha,,---,,6.78,ESP,Decente,Inteligente
- - -,Fic,Sebas Lauture,Getafe B,DF (C),190 cm,80 kg,24,Solo izquierda,,---,,6.54,HAI,Decente,Inteligente
- - -,Les,Rafa De Vicente,Marbella,ME (C),179 cm,74 kg,30,Solo derecha,,---,,6.91,ESP,Decente,Técnico
- - -,,Gorka Rivera,Getafe B,DF/CR (I),180 cm,72 kg,19,Solo izquierda,,---,,6.94,ESP,Decente,Físico
- - -,,Admonio,Algeciras,DF (C),183 cm,77 kg,30,Solo derecha,,---,,6.58,GNB,Decente,Físico
- - -,,Toni Herrero,Sabadell,DF/CR (I),180 cm,74 kg,23,Solo izquierda,,---,,6.60,ESP,Decente,Técnico
- - -,,Roger Figueras,Lleida,DF (DC),180 cm,72 kg,27,Solo derecha,,---,,6.84,ESP,Decente,Físico
- - -,,Jesús Fortea,R. Madrid,DF (D),181 cm,69 kg,17,Sin datos,,---,,-,ESP,Decente,Inteligente
- - -,,Baka,El Palo,"MC, ME (C)",176 cm,79 kg,26,Izquierda,,---,,6.72,ZIM,Decente,Técnico
- - -,Fic,Aimar Collante,Oviedo B,DF (IC),184 cm,76 kg,22,Solo izquierda,,---,,6.73,ESP,Decente,Líder
- - -,,Pablo Santana,Águilas,ME (C),187 cm,83 kg,30,Derecha,,---,,6.63,ESP,Decente,Físico
- - -,,Abel,Segoviana,DF (DC),183 cm,68 kg,28,Solo derecha,,---,,6.57,ESP,Decente,Inteligente
- - -,,Rubén López,Coruña B,"MC, ME (C)",188 cm,75 kg,19,Izquierda,,---,,6.89,ESP,Decente,Inteligente
- - -,,Javier Orodea,Náxara,"ME (C), DL (C)",181 cm,79 kg,30,Derecha,,---,,6.78,ESP,Decente,Inteligente
- - -,,Mohamed Mizzian,Mérida,DL (C),185 cm,81 kg,24,Derecha,,---,,-,ESP,Decente,Físico
- - -,,Martín Lapeña,Talavera,"MP (DC), DL (C)",170 cm,66 kg,24,Derecha,,---,,6.71,ESP,Decente,Inteligente
- - -,,Mamor Niang,Melilla,DL (C),190 cm,84 kg,22,Izquierda,,---,,6.62,ESP,Decente,Líder
- - -,,Pol Bassa,G. Torrelavega,DF/CR (I),170 cm,62 kg,21,Izquierda,,---,,6.70,ESP,Decente,Inteligente
- - -,,Luis Sánchez,Langreo,ME/MP (D),174 cm,70 kg,22,Izquierda,,---,,7.37,ESP,Decente,Técnico
- - -,,Illies,Fuenlabrada,DL (C),192 cm,85 kg,22,Solo izquierda,,---,,6.81,FRA,Decente,Técnico
- - -,,Iago Díaz,Huelva,"ME (DI), MP (DIC), DL (C)",182 cm,73 kg,31,Solo derecha,,---,,6.64,ESP,Decente,Creativo
- - -,,Adrià Capdevila,Logroñés,"MC, ME (C)",169 cm,61 kg,20,Derecha,,---,,-,ESP,Decente,Físico
- - -,,Víctor Sala,Alzira,MC,187 cm,78 kg,21,Solo derecha,,---,,-,ESP,Decente,Técnico
- - -,,Rafa Diz,Getafe B,ME (D),170 cm,58 kg,23,Ambas,,---,,7.11,ESP,Decente,Técnico
- - -,,Ruymán,Mensajero,"DF (C), MC, ME (C)",188 cm,76 kg,29,Derecha,,---,,6.63,ESP,Decente,Inteligente
- - -,,Manuel Salinas,Sta. Eulalia,DL (C),181 cm,72 kg,35,Derecha,,---,,6.80,ESP,Decente,Inteligente
- - -,,Albert Navarro,Barcelona,DF/CR (I),184 cm,66 kg,17,Sin datos,,---,,-,ESP,Decente,Físico
- - -,Les,Darío García,Guadalajara,ME (C),178 cm,72 kg,30,Solo derecha,,---,,6.76,ESP,Decente,Físico
- - -,,David Rodríguez,Navalcarnero,ME (C),178 cm,72 kg,32,Derecha,,---,,6.87,ESP,Decente,Líder
- - -,Seg,Javi Moreno,Arenteiro,DF (DC),184 cm,81 kg,24,Solo derecha,,---,,6.81,ESP,Decente,Inteligente
- - -,,Vadik Murria,Intercity,DF (C),188 cm,78 kg,22,Solo derecha,,---,,6.49,ESP,Decente,Inteligente
- - -,,Runy,Montijo,"MP (I), DL (C)",182 cm,73 kg,23,Derecha,,---,,6.72,ESP,Decente,Inteligente
- - -,,Hugo Ríos,Coruña B,POR,196 cm,84 kg,20,Derecha,,---,,6.97,ESP,Decente,Con autoridad
- - -,Ret,Pablo Rey,Villalbés,"ME (C), MP (IC)",175 cm,68 kg,39,Derecha,,---,,6.91,ESP,Decente,Creativo
- - -,,Diego,Náxara,"MC, ME (C)",163 cm,61 kg,21,Derecha,,---,,7.00,ESP,Decente,Inteligente
- - -,,David López,Segoviana,DF (IC),183 cm,75 kg,23,Izquierda,,---,,6.70,ESP,Decente,Líder
- - -,,Nil Calderó,Barcelona B,MP (DI),177 cm,65 kg,19,Solo derecha,,---,,6.90,ESP,Decente,Físico
- - -,,Adrián Hernàndez,U.D. San Fernando,DL (C),181 cm,81 kg,32,Derecha,,---,,6.69,ESP,Decente,Físico
- - -,,Carlos,Cerdanyola,"MP (C), DL (C)",187 cm,87 kg,26,Derecha,,---,,6.72,ESP,Decente,Técnico
- - -,Ced,Sander Ballero,Sabadell,ME (C),182 cm,69 kg,20,Derecha,,---,,-,ESP,Decente,Físico
- - -,,Adrián Roncal,Egüés,"MP (D), DL (C)",193 cm,80 kg,24,Derecha,,---,,6.88,ESP,Decente,Físico
- - -,,Alexis Olmedo,Barcelona B,DF (DC),184 cm,72 kg,18,Derecha,,---,,6.50,ESP,Decente,Físico
- - -,Les,Alberto Delgado,G. Torrelavega,DF/CR (I),176 cm,65 kg,33,Izquierda,,---,,6.74,ESP,Decente,Líder
- - -,,Juan Riquelme,Yeclano,ME (C),180 cm,74 kg,27,Derecha,,---,,6.60,ESP,Decente,Físico
- - -,,Álex Macías,Melilla,DF/CR (I),176 cm,66 kg,22,Solo izquierda,,---,,6.60,ESP,Decente,Técnico
- - -,,Juan López,Langreo,ME/MP (C),176 cm,69 kg,29,Derecha,,---,,6.73,ESP,Decente,Técnico
- - -,,Fernando Pajarero,La Nucía,DF (DC),183 cm,79 kg,36,Solo derecha,,---,,6.84,ESP,Decente,Inteligente
- - -,Seg,Julián Mahicas,Mallorca,DL (C),180 cm,72 kg,22,Derecha,,---,,6.57,ESP,Decente,Inteligente
- - -,,Nacho Muñoz,Racing Cartagena,"ME (D), MP (DI), DL (C)",180 cm,71 kg,22,Derecha,,---,,6.97,ESP,Decente,Técnico
- - -,,Fran Ortuño,Valladolid B,DF (IC),182 cm,76 kg,21,Izquierda,,---,,6.69,ESP,Decente,Inteligente
- - -,,Fran Viñuela,Cacereño,"MP (D), DL (C)",183 cm,75 kg,25,Solo derecha,,---,,7.30,ESP,Decente,Inteligente
- - -,,Juanan,Zamora,MC,186 cm,81 kg,30,Derecha,,---,,6.77,ESP,Decente,Físico
- - -,,Ousmane Traoré,Marino,DF (C),187 cm,85 kg,23,Solo derecha,,---,,6.80,CIV,Decente,Físico
- - -,Trn,Pol Domingo,Tarragona,DF (C),183 cm,76 kg,24,Derecha,,---,,6.51,ESP,Decente,Inteligente
- - -,,Iván Breñé,Cacereño,DL (C),178 cm,73 kg,23,Izquierda,,---,,6.66,ESP,Decente,Inteligente
- - -,Seg,Jurgi Oteo,Badajoz,MP (DI),171 cm,67 kg,27,Derecha,,---,,6.62,ESP,Decente,Técnico
- - -,,Marc Domènech,Náxara,"MC, ME/MP (C)",171 cm,61 kg,21,Izquierda,,---,,6.86,ESP,Decente,Creativo
- - -,Seg,Manu Viana,C.D. Estepona,ME/MP (I),170 cm,71 kg,29,Izquierda,,---,,7.10,ESP,Decente,Técnico
- - -,Ced,Gori,Espanyol,ME/MP (C),176 cm,67 kg,22,Ambas,,---,,6.50,ESP,Decente,Inteligente
- - -,,Marc Vargas,Badalona Fut,DF/CR (D),177 cm,72 kg,22,Derecha,,---,,6.98,ESP,Decente,Técnico
- - -,,Aritz Gil,Mutilvera,DF (C),188 cm,78 kg,26,Derecha,,---,,6.59,ESP,Decente,Líder
- - -,,Ebuka Nwenyi,Águilas,DF (IC),184 cm,76 kg,23,Solo izquierda,,---,,6.78,NGA,Decente,Inteligente
- - -,Seg,Akito Mukai,Antequera,MP (D),168 cm,64 kg,25,Derecha,,---,,6.65,JPN,Decente,Técnico
- - -,,Julen,Teruel,DF/CR/ME (I),178 cm,70 kg,29,Solo izquierda,,---,,6.60,ESP,Decente,Físico
- - -,,Mikel Jauregizar,A. Bilbao B,ME/MP (C),188 cm,77 kg,20,Derecha,,---,,6.88,ESP,Decente,Técnico
- - -,,Pana,Guijuelo,DL (C),180 cm,74 kg,26,Derecha,,---,,6.63,ESP,Decente,Físico
- - -,,Diego Carrio,A. Getxo,POR,192 cm,81 kg,29,Derecha,,---,,6.90,ESP,Decente,Guardameta
- - -,,Vladimir Mustečić,Sevilla,DF (C),180 cm,65 kg,16,Sin datos,,---,,-,ESP,Decente,Líder
- - -,,Marc Jurado,Valencia,MP (DI),170 cm,59 kg,18,Sin datos,,---,,6.80,ESP,Decente,Creativo
- - -,,Julio Rodríguez,Avilés,DF (C),194 cm,86 kg,28,Derecha,,---,,6.64,ESP,Decente,Técnico
- - -,,Óscar De Frutos,Numantia,DF (C),180 cm,72 kg,25,Solo derecha,,---,,6.55,ESP,Decente,Físico
- - -,,Adrià De Mesa,Barbastro,DL (C),187 cm,76 kg,33,Derecha,,---,,6.76,ESP,Decente,Físico
- - -,,Alfredo Pedraza,Badalona Fut,DF (C),181 cm,76 kg,23,Derecha,,---,,6.65,ESP,Decente,Inteligente
- - -,,Jan Molina,Barcelona B,"ME (C), MP (IC)",169 cm,59 kg,19,Derecha,,---,,6.63,ESP,Decente,Creativo
- - -,,Urko Ardanaz,Izarra,"MC, ME (C)",194 cm,81 kg,21,Derecha,,---,,6.61,ESP,Decente,Físico
- - -,,Kike Ribes,Cornellà,DF (C),185 cm,74 kg,20,Derecha,,---,,6.51,ESP,Decente,Físico
- - -,,Brian Velázquez,U.D. San Fernando,DF (D),180 cm,69 kg,23,Derecha,,---,,07.04,ESP,Decente,Líder
- - -,,Ángel,Izarra,POR,190 cm,78 kg,28,Derecha,,---,,6.50,ESP,Decente,Guardameta
- - -,,Adrián Pérez,Torrent,"MC, ME (C)",184 cm,73 kg,26,Derecha,,---,,6.95,ESP,Decente,Físico
- - -,,Rodrigo Sanz,Tudelano,"ME (I), MP (IC), DL (C)",175 cm,67 kg,31,Derecha,,---,,6.93,ESP,Decente,Técnico
- - -,,Alain,Langreo,DF (C),183 cm,75 kg,34,Solo derecha,,---,,6.75,ESP,Decente,Líder
- - -,,Mawi,Águilas,MP (D),169 cm,61 kg,31,Solo derecha,,---,,6.80,ESP,Decente,Técnico
- - -,,Fernando Andrada,Ourense C.F.,DF (D),177 cm,68 kg,29,Derecha,,---,,6.20,ESP,Decente,Físico
- - -,,Verde,Valladolid B,"DF (C), MC",188 cm,79 kg,21,Derecha,,---,,6.72,ESP,Decente,Físico
- - -,,Hugo Alba,Barcelona,DL (C),181 cm,67 kg,17,Sin datos,,---,,-,ESP,Decente,Físico
- - -,,Jorge Domínguez,Calahorra,"MC, ME (C), MP (D)",171 cm,64 kg,24,Derecha,,---,,6.86,ESP,Decente,Físico
- - -,,Gerard Barri,Ciudad Real,DF/CR/ME/MP (D),188 cm,79 kg,23,Solo derecha,,---,,6.50,ESP,Decente,Técnico
- - -,Seg,Eric,Alcorcón,ME/MP (I),175 cm,71 kg,20,Izquierda,,---,,6.25,ESP,Decente,Técnico
- - -,Trn,Antonio Molina,Burgos,"ME (I), MP (IC)",174 cm,61 kg,21,Izquierda,,---,,6.90,ESP,Decente,Técnico
- - -,,Pablo Cacharrón,Unionistas,POR,186 cm,79 kg,27,Derecha,,---,,6.44,ESP,Decente,Guardameta
- - -,,Miquel Alorda,Andratx,MP (DIC),175 cm,69 kg,23,Solo derecha,,---,,6.63,ESP,Decente,Técnico
- - -,,Iker Varela,Gernika,ME/MP (I),186 cm,75 kg,21,Izquierda,,---,,07.04,ESP,Decente,Técnico
- - -,,Jordi Tur,A. Getxo,"ME (DC), MP (C)",175 cm,68 kg,26,Solo derecha,,---,,6.98,ESP,Decente,Inteligente
- - -,,Álvaro Meseguer,Utebo,DF (C),179 cm,76 kg,31,Solo derecha,,---,,6.72,ESP,Decente,Técnico
- - -,Fic,Álex Vila,Vigo B,POR,194 cm,86 kg,28,Derecha,,---,,-,ESP,Decente,Con autoridad
- - -,,Hugo Esteban,Sanse,MP (D),167 cm,67 kg,25,Solo derecha,,---,,07.02,ESP,Decente,Físico
- - -,Ced,Pau Fernández,Sabadell,DF/CR (I),178 cm,63 kg,19,Izquierda,,---,,-,ESP,Decente,Líder
- - -,,Teddy Sutherland,Teruel,"MP (DC), DL (C)",175 cm,70 kg,24,Derecha,,---,,-,ENG,Decente,Técnico
- - -,,Nico Toca,Leonesa,"MC, ME (C)",177 cm,70 kg,21,Derecha,,---,,6.67,ESP,Decente,Físico
- - -,Les,Gonzalo Alfaro,A. Getxo,DF (DC),175 cm,67 kg,24,Solo derecha,,---,,6.65,ESP,Decente,Líder
- - -,Les,Bruno,Cerdanyola,DF/CR (D),180 cm,71 kg,24,Derecha,,---,,6.73,ESP,Decente,Inteligente
- - -,,Peio Huestamendia,A. Bilbao,ME/MP (D),169 cm,57 kg,17,Sin datos,,---,,-,ESP,Decente,Físico
- - -,,Juanma,Orihuela,"DF (IC), CR (I)",177 cm,86 kg,27,Solo izquierda,,---,,6.73,ESP,Decente,Técnico
- - -,,Rodri,La Nucía,POR,181 cm,74 kg,24,Derecha,,---,,6.84,ESP,Decente,Guardameta
- - -,,David Alfonso,Numantia,DF/CR (I),167 cm,72 kg,24,Izquierda,,---,,6.63,ESP,Decente,Inteligente
- - -,Seg,Juanjo Mateo,Melilla,DF (D),167 cm,60 kg,29,Solo derecha,,---,,07.03,ESP,Decente,Inteligente
- - -,,Alex Cañizares,Illescas,DL (C),185 cm,70 kg,21,Derecha,,---,,6.67,ESP,Decente,Inteligente
- - -,,Ander Zoilo,Real San Sebastián B,DF (I),181 cm,73 kg,24,Izquierda,,---,,6.70,ESP,Decente,Físico
- - -,Ofer,Matías Fernández,Andratx,DF/CR (D),177 cm,73 kg,23,Derecha,,---,,6.82,ARG,Decente,Físico
- - -,Juv,Gerardo,Villarreal,MP (D),170 cm,54 kg,15,Sin datos,,---,,-,ESP,Decente,Creativo
- - -,Seg,Álex Gil,Ourense C.F.,ME/MP (D),171 cm,63 kg,26,Derecha,,---,,6.86,ESP,Decente,Técnico
- - -,,Fran Carmona,Teruel,DF (C),184 cm,80 kg,24,Derecha,,---,,6.92,ESP,Decente,Físico
- - -,,Iván Aguilar,La Unión At.,DL (C),180 cm,73 kg,33,Derecha,,---,,6.78,ESP,Decente,Inteligente
- - -,,Aitor Fraga,Real San Sebastián B,POR,189 cm,80 kg,21,Derecha,,---,,7.30,ESP,Decente,Con autoridad
- - -,,Edu Adell,A. Sagunto,DF/CR (I),182 cm,74 kg,25,Solo izquierda,,---,,6.80,ESP,Decente,Técnico
- - -,,Goyo Medina,Orihuela,DF/CR/ME (I),178 cm,62 kg,24,Solo izquierda,,---,,6.95,ESP,Decente,Técnico
- - -,,Carlos Daniel,Talavera,DF (C),188 cm,78 kg,24,Izquierda,,---,,6.74,ESP,Decente,Técnico
- - -,,Erik Aguado,Antoniano,ME/MP (D),172 cm,65 kg,25,Solo derecha,,---,,6.96,MEX,Decente,Físico
- - -,Seg,Diego Esteban,C.D. Estepona,MP (I),171 cm,65 kg,24,Izquierda,,---,,07.07,ESP,Decente,Líder
- - -,,Guaya,Marino,DF (IC),173 cm,65 kg,38,Solo derecha,,---,,6.86,ESP,Decente,Líder
- - -,Seg,Luismi Luengo,Zamora,DF (C),185 cm,78 kg,23,Derecha,,---,,6.97,ESP,Decente,Inteligente
- - -,,Izan Flaño,Náxara,DF (D),165 cm,60 kg,22,Izquierda,,---,,6.88,ESP,Decente,Líder
- - -,,Nene,Espanyol B,"ME (I), MP (DIC)",173 cm,67 kg,21,Izquierda,,---,,07.02,ESP,Decente,Creativo
- - -,,Varo,G. Torrelavega,DF (C),193 cm,89 kg,23,Izquierda,,---,,07.01,ESP,Decente,Físico
- - -,Seg,Jorge Aguirre,Atlético Pamplona B,DL (C),183 cm,77 kg,24,Derecha,,---,,6.68,ESP,Decente,Inteligente
- - -,Seg,Mikel Goti,Real San Sebastián B,"ME (I), MP (DIC)",183 cm,76 kg,22,Izquierda,,---,,07.01,ESP,Decente,Técnico
- - -,Ret,Rúper,Izarra,"MC, ME (C)",182 cm,75 kg,37,Derecha,,---,,6.71,ESP,Decente,Líder
- - -,Seg,Pipa,Elche,ME/MP (C),173 cm,61 kg,20,Derecha,,---,,6.00,ESP,Decente,Físico
- - -,,Dani Plomer,Segoviana,"MP (I), DL (C)",179 cm,72 kg,25,Derecha,,---,,6.71,ESP,Decente,Técnico
- - -,Seg,Joel Arumí,A. Madrid B,DF/CR (I),180 cm,71 kg,24,Izquierda,,---,,6.95,ESP,Decente,Técnico
- - -,Pet,Miguel Ángel Brau,Granada B,DF/CR/ME/MP (I),183 cm,73 kg,22,Izquierda,,---,,6.63,ESP,Decente,Físico
- - -,,Sergio Neira,Valladolid B,MP (IC),174 cm,67 kg,18,Derecha,,---,,6.90,ESP,Decente,Creativo
- - -,,Iván Martínez,Izarra,ME/MP (I),187 cm,76 kg,26,Izquierda,,---,,7.00,ESP,Decente,Técnico
- - -,,Álvaro,Unionistas,ME/MP (C),179 cm,74 kg,27,Derecha,,---,,6.73,ESP,Decente,Inteligente
- - -,,Joel Ruiz,Europa,POR,186 cm,76 kg,21,Derecha,,---,,6.43,ESP,Decente,Con autoridad
- - -,,Kevin Toner,La Nucía,DF (C),180 cm,74 kg,27,Izquierda,,---,,6.74,IRL,Decente,Líder
- - -,,Daniel Garrido,Coruxo,"MC, ME (C)",170 cm,70 kg,24,Derecha,,---,,7.10,ESP,Decente,Inteligente
- - -,,Ransford Selasi,Melilla,"MC, ME (C)",178 cm,70 kg,27,Solo derecha,,---,,6.62,GHA,Decente,Líder
- - -,,Martí Soler,Manresa,ME (C),180 cm,72 kg,26,Derecha,,---,,6.72,ESP,Decente,Físico
- - -,,Markitos,Arenteiro,DL (C),172 cm,74 kg,24,Derecha,,---,,6.60,ESP,Decente,Físico
- - -,,Carlos Mattheus,A. Bilbao B,ME/MP (I),185 cm,74 kg,22,Derecha,,---,,6.93,ESP,Decente,Técnico
- - -,,Jacobo Cornejo,San Roque de Lepe,ME/MP (D),174 cm,66 kg,28,Derecha,,---,,6.81,ESP,Decente,Técnico
- - -,,Aitor Lorea,Marino,ME/MP (D),171 cm,68 kg,26,Solo derecha,,---,,6.70,ESP,Decente,Inteligente
- - -,,Aitor Albizu,A.D. San Juan,"MC, ME (C)",172 cm,66 kg,21,Derecha,,---,,6.86,ESP,Decente,Técnico
- - -,,Javi Lancho,Ponferrada,DF/CR/MP (I),184 cm,75 kg,22,Izquierda,,---,,6.60,ESP,Decente,Técnico
- - -,,Eneko Delgado,La Nucía,"ME (C), MP (IC)",171 cm,67 kg,23,Izquierda,,---,,7.00,ESP,Decente,Creativo
- - -,,Paul Álvarez,Gernika,DF (DC),186 cm,76 kg,24,Derecha,,---,,6.63,ESP,Decente,Físico
- - -,,Assane,A. Madrid B,"MC, ME (C)",180 cm,75 kg,24,Derecha,,---,,6.77,SEN,Decente,Inteligente
- - -,,Álex Revuelta,Penya Independent,DF (C),190 cm,82 kg,24,Solo izquierda,,---,,6.79,ESP,Decente,Físico
- - -,,Abde,Sabadell,"ME (I), MP (DI), DL (C)",172 cm,70 kg,24,Derecha,,---,,7.00,MAR,Decente,Técnico
- - -,,Jaime González,Sant Andreu,POR,194 cm,83 kg,26,Derecha,,---,,6.52,ESP,Decente,Guardameta
- - -,,Lucas Ricoy,Burgos,DL (C),187 cm,78 kg,21,Derecha,,---,,6.54,ESP,Decente,Físico
- - -,,Miguel Ángel Ruiz,Alzira,DF/CR (D),184 cm,85 kg,22,Derecha,,---,,6.78,ESP,Decente,Físico
- - -,,Dani Sandoval,Marino,ME/MP (C),179 cm,65 kg,25,Derecha,,---,,6.61,ESP,Decente,Técnico
- - -,,Jesús Romero,San Roque de Lepe,POR,186 cm,80 kg,34,Solo izquierda,,---,,6.57,ESP,Decente,Con autoridad
- - -,Ced,Ratinho,Levante,MP (D),165 cm,54 kg,22,Izquierda,,---,,-,BRA,Decente,Técnico
- - -,,Aarón Ochoa,Málaga,ME/MP (C),168 cm,63 kg,17,Sin datos,,---,,-,IRL,Decente,Físico
- - -,,Pau Martínez,San Fernando,"ME (D), MP (DI)",168 cm,66 kg,23,Derecha,,---,,6.73,ESP,Decente,Técnico
- - -,,Daniel Sandoval,Mérida,MP (I),176 cm,71 kg,26,Izquierda,,---,,6.90,ESP,Decente,Físico
- - -,,Joserra,Cacereño,DF/CR (I),171 cm,66 kg,25,Solo izquierda,,---,,6.88,ESP,Decente,Físico
- - -,,Ángel Mancheño,Linense,DF/CR/MP (D),173 cm,65 kg,21,Derecha,,---,,6.53,ESP,Decente,Técnico
- - -,Juv,Adrián Villanueva,A. Madrid,DF (D),169 cm,58 kg,16,Sin datos,,---,,-,ESP,Decente,Físico
- - -,,Relu,Villanovense,"MC, ME/MP (C)",183 cm,76 kg,26,Solo izquierda,,---,,6.58,ESP,Decente,Líder
- - -,,Xanet Oláiz,Alavés B,DF (IC),192 cm,83 kg,20,Izquierda,,---,,6.60,ESP,Decente,Inteligente
- - -,,Álex Rasines,G. Torrelavega,DF/CR (D),175 cm,68 kg,27,Solo derecha,,---,,6.82,ESP,Decente,Físico
- - -,Seg,Pablo Haro,Sanse,MP (DI),176 cm,69 kg,27,Derecha,,---,,6.75,ESP,Decente,Físico
- - -,,Marcos Trabanco,Avilés,DF/CR/ME/MP (D),177 cm,67 kg,23,Derecha,,---,,6.83,ESP,Decente,Técnico
- - -,,Arkaitz Mariezkurrena,Real San Sebastián C,"MP (DIC), DL (C)",172 cm,63 kg,19,Izquierda,,---,,6.97,ESP,Decente,Técnico
- - -,,Lluis Andreu,Cerdanyola,POR,189 cm,77 kg,24,Derecha,,---,,6.43,ESP,Decente,Con autoridad
- - -,,David Aparicio,Teruel,"ME (I), MP (IC)",173 cm,66 kg,27,Solo izquierda,,---,,7.13,ESP,Decente,Líder
- - -,,Javi Alba,Cornellà,"MC, ME/MP (C)",178 cm,69 kg,19,Derecha,,---,,6.61,ESP,Decente,Creativo
- - -,,Iker Córdoba,Valencia,DF (C),190 cm,81 kg,18,Sin datos,,---,,-,ESP,Decente,Líder
- - -,,Buru,Covadonga,POR,183 cm,76 kg,25,Solo derecha,,---,,6.62,ESP,Decente,Distribuidor
- - -,,Chinedu,R. Santander,DL (C),180 cm,71 kg,17,Sin datos,,---,,-,NGA,Decente,Técnico
- - -,Opc,Álvaro Barbosa,Fuenlabrada,"ME (I), MP (DIC)",180 cm,74 kg,31,Izquierda,,---,,6.93,ESP,Decente,Inteligente
- - -,Juv,Antonio,Almería,MC,173 cm,59 kg,15,Sin datos,,---,,-,ESP,Decente,Físico
- - -,,Isaac Amoah,Tarazona,DF (C),188 cm,78 kg,23,Solo derecha,,---,,6.60,GHA,Decente,Físico
- - -,,Kike Vidal,Compostela,DF (C),181 cm,76 kg,21,Derecha,,---,,6.64,ESP,Decente,Inteligente
- - -,,Josu,Sant Andreu,MP (DIC),186 cm,71 kg,34,Derecha,,---,,6.99,ESP,Decente,Líder
- - -,,Josu Ibarbia,Marino,"DF (DI), CR (D)",178 cm,70 kg,29,Derecha,,---,,-,ESP,Decente,Físico
- - -,,Adrián Fernández,U. Adarve,POR,177 cm,70 kg,24,Derecha,,---,,6.63,ESP,Decente,Guardameta
- - -,Seg,Jesús Tamayo,Numantia,"MP (DIC), DL (C)",175 cm,75 kg,29,Solo derecha,,---,,7.17,ESP,Decente,Físico
- - -,,Marc Vidal,Barcelona B,POR,185 cm,74 kg,24,Derecha,,---,,-,ESP,Decente,Distribuidor
- - -,Seg,Álex Alemán,R. Madrid B,DL (C),178 cm,80 kg,19,Derecha,,---,,-,ESP,Decente,Inteligente
- - -,,Toni García,U. Murcia,ME/MP (I),175 cm,63 kg,32,Solo izquierda,,---,,6.50,ESP,Decente,Líder
- - -,,Moi Parra,Linense,"MP (DI), DL (C)",183 cm,76 kg,21,Derecha,,---,,6.91,ESP,Decente,Técnico
- - -,,Borja Marchante,Coruxo,DF (C),185 cm,81 kg,22,Derecha,,---,,6.78,ESP,Decente,Líder
- - -,,Ángel Martínez,Antoniano,DF/ME/MP (I),184 cm,74 kg,29,Izquierda,,---,,6.86,ESP,Decente,Líder
- - -,,Luken Beitia,Real San Sebastián C,DF (C),191 cm,80 kg,19,Derecha,,---,,-,ESP,Decente,Físico
- - -,Seg,Óscar Fernández,S.D. Logroñés,MP (D),173 cm,72 kg,29,Solo derecha,,---,,6.84,ESP,Decente,Físico
- - -,,Isra Cano,Villanovense,ME/MP (C),178 cm,69 kg,23,Derecha,,---,,6.76,ESP,Decente,Inteligente
- - -,,Mario Benedet,Brea,MP (C),180 cm,69 kg,23,Derecha,,---,,6.45,ESP,Decente,Técnico
- - -,,Pece,Espanyol B,"MP (C), DL (C)",177 cm,68 kg,20,Derecha,,---,,6.66,ESP,Decente,Técnico
- - -,,Dani Cervera,Terrassa,"MC, ME/MP (C)",169 cm,60 kg,21,Derecha,,---,,6.85,ESP,Decente,Creativo
