,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec,Inf,Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,FC,FR,Ama,Roj.,Rob,Pos Gan/90,Pos Perd/90,Disparos,TaP,Disparos fuera área/90,Gol,Goles fuera del área,xG,xG- SP,Cab Int,Cen.In,Cab,Cen.Com,Cen I-Ab,Cen C-Ab,Fdj,GlEq
- - -,,Txus Ayensa,"MC, ME (C)",0 (17),402,237,210,14,2,0,"0,36",1,2,41,8,"56,2 km","8,73",7,2,0,0,5,"13,21","3,81",5,1,"0,45",1,0,"0,61","0,61",19,1,7,0,1,0,0,5
- - -,,Gaizka García,POR,0 (1),7,1,0,0,0,0,0,0,0,0,0,"0,0 km",-,0,0,0,0,0,-,-,0,-,-,0,-,0,0,-,-,-,-,-,-,0,0
- - -,Seg,Gonzalo Calçada,"MC, ME (C)",34,2.908,1.679,1.524,152,46,3,"6,83",20,22,300,82,"407,0 km","9,41",40,25,3,0,41,"15,88","6,84",19,4,"0,15",3,0,"2,13","2,13",149,48,78,5,14,1,0,41
- - -,,Sergio García,MP (IC),17 (2),1.321,454,386,33,22,3,"1,37",2,35,150,33,"170,4 km","11,72",9,19,1,0,25,"3,54","15,94",20,8,"0,48",2,0,"1,58","1,58",93,95,31,13,42,7,4,21
- - -,,Áron Yaakobishvili,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Ret,Óscar Rubio,DF (D),1 (13),760,430,374,43,10,2,"1,02",0,10,37,13,"87,3 km","7,34",5,7,1,0,13,"13,97","7,34",3,0,0,0,0,"0,13","0,13",53,13,37,1,13,1,0,12
- - -,,Álex Pérez,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Miguel Goñi,DF (C),26,2.140,1.400,1.154,98,10,2,"1,95",4,1,81,34,"262,6 km","4,12",11,5,4,0,41,"19,09","3,24",10,1,0,1,0,"3,15","3,15",170,5,119,0,5,0,0,19
- - -,,Víctor Vázquez,"ME (D), MP (DIC)",1 (25),802,303,239,34,28,2,"0,26",0,12,73,23,"93,0 km","8,08",6,5,1,0,15,"7,18","10,1",9,1,"0,45",0,0,"0,81","0,81",44,138,11,16,32,2,2,11
- - -,Seg,Marouan Sannadi,"DF (C), DL (C)",33,2.875,1.633,1.396,111,21,0,"1,78",4,22,247,66,"375,9 km","7,7",53,22,7,0,43,"11,93","8,11",23,3,"0,19",1,0,"3,08","3,08",204,11,129,4,11,4,2,34
- - -,Juv,Rafael,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Ced,Manu Garrido,DL (C),6 (26),1.035,265,230,10,9,1,"0,54",1,10,85,19,"129,5 km","4,96",15,19,0,0,10,"0,96","23,22",35,17,"1,13",4,1,"4,17","4,17",142,9,57,0,9,0,8,13
- - -,,Javi Pedrosa,ME/MP (D),4 (19),759,272,239,12,9,0,"0,17",0,13,86,13,"89,3 km","9,6",12,6,2,0,9,"2,73","17,79",13,3,"0,71",1,0,"0,95","0,95",53,46,11,2,33,2,2,4
- - -,,Carlos Badal,DF (C),5 (2),546,320,266,16,2,0,"0,76",0,0,16,4,"63,0 km","4,78",0,3,0,0,7,"18,3","2,97",1,0,0,0,0,"0,31","0,31",48,0,30,0,0,0,0,9
- - -,,Marc Sirera,DF (DC),33,2.747,1.363,1.179,131,31,3,"1,78",2,38,223,52,"344,5 km","10,03",22,24,0,0,56,"12,02","13,07",31,5,"0,36",1,0,"2,8","2,8",196,86,133,14,86,14,1,37
- - -,,Toni Vicente,ME (C),0 (13),399,116,107,7,6,0,"0,13",0,2,36,8,"54,5 km","8,35",3,6,0,0,6,"5,64","18,72",12,7,"0,9",4,0,"1,11","1,11",43,3,6,1,3,1,2,10
- - -,,Dani Pereiro,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,Les,Luis Pareja,"DF (DC), MC",4 (17),970,555,477,31,2,1,"0,33",0,1,43,12,"116,7 km","4,92",5,1,1,0,14,"13,45","3,71",5,0,"0,19",0,0,"1,05","1,05",97,0,64,0,0,0,2,9
- - -,,David Marín,ME (C),0 (3),156,75,64,9,4,0,"0,53",0,0,14,8,"20,9 km","9,23",2,1,0,0,2,"5,77","15,58",0,-,0,0,0,0,0,7,6,0,0,6,0,1,2
- - -,,David Momoh,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Òscar Romero,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Álvaro Salinas,"ME (I), MP (IC)",34,2.800,909,765,69,34,5,"5,06",10,100,325,87,"336,3 km","8,71",38,57,0,0,36,"5,37","18,84",62,20,"0,84",4,1,"6,61","5,8",219,152,41,22,107,16,11,35
- - -,,Abraham,DF/CR/ME (D),31,2.566,955,799,98,43,3,"2,61",5,73,322,103,"353,3 km","13,54",23,49,0,0,47,"4,49","15,15",21,7,"0,32",1,0,"2,6","2,6",171,161,72,29,161,29,8,37
- - -,,Rubio,DL (C),2 (21),677,164,144,2,2,0,"0,01",0,12,38,5,"78,3 km","4,65",7,20,0,0,7,"1,33","21,27",19,6,"0,27",2,0,"1,61","1,61",92,4,41,1,4,1,6,5
- - -,,Carlos Torrado,DF/CR (D),5 (18),803,416,362,54,14,0,"2,08",5,10,58,13,"117,0 km","15,58",5,6,1,0,15,"12,44","9,53",8,3,"0,22",0,0,"0,86","0,86",68,33,46,2,33,2,1,7
- - -,,Andrés Castrín,DF (DC),8 (7),874,490,430,47,7,0,"0,34",1,4,45,15,"112,9 km","6,8",11,4,2,0,19,"6,9","8,44",3,0,0,0,0,"0,19","0,19",83,19,57,1,19,1,1,12
- - -,,Raúl Marqueta,POR,32,2.837,673,378,0,1,0,0,0,0,0,0,"153,4 km",0,4,7,4,0,0,"2,95","7,87",0,-,-,0,-,0,0,-,-,-,-,-,-,0,35
- - -,,Dani Martínez,"ME (IC), MP (I)",19 (9),1.382,537,456,71,39,0,"2,7",5,26,182,42,"190,1 km","12,37",15,18,2,0,28,"6,25","12,83",10,4,"0,39",1,0,"0,75","0,75",93,54,39,3,54,3,2,20
- - -,Les,Mateo Gandarillas,"CR (D), ME/MP (DI)",12 (16),1.550,673,579,60,16,0,"0,74",1,36,150,37,"208,9 km","11,26",20,24,2,0,35,"5,81","16,55",27,6,"0,46",1,0,"2,9","2,9",97,76,20,5,76,5,4,17
- - -,Seg,Pol Tristán,POR,2,180,41,28,0,0,0,0,0,0,0,0,"11,2 km",0,0,1,0,0,0,"2,5","10,5",0,-,-,0,-,0,0,-,-,-,-,-,-,0,2
- - -,,Luis Aguado,"DF (DC), CR (D)",8 (1),782,421,337,52,11,0,"0,97",1,19,47,24,"96,8 km","9,55",8,5,5,0,12,"7,37","16,92",0,-,0,0,0,0,0,68,45,35,6,26,2,0,8
- - -,Ret,Lolo Guerrero,DF (C),26,2.257,1.235,1.104,89,9,1,"0,78",1,1,71,29,"255,8 km","3,67",22,3,1,0,31,"15,23","2,87",6,1,"0,12",1,0,"1,01","1,01",196,4,130,0,4,0,1,38
- - -,Juv,Juan José Pereda,DL (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Borja Álvarez,"DF (DC), CR (D)",30,2.558,1.351,1.138,158,25,1,"2,37",4,14,201,45,"344,3 km","11,22",30,26,4,1,63,"13,05","14,18",42,7,"0,46",2,0,"4,41","4,41",223,109,143,15,109,15,3,25
- - -,,Joel Priego,ME/MP (DI),6 (10),814,343,302,28,15,0,"1,8",1,13,96,22,"108,3 km","8,96",12,15,2,0,13,"5,2","17,8",13,6,"0,44",2,0,"1,36","1,36",42,33,10,3,33,3,3,14
- - -,Seg,Adri Díaz,"MC, ME/MP (C)",3 (27),920,455,392,41,12,0,"0,72",1,14,103,25,"128,0 km","8,12",21,7,2,0,13,"9,59","16,63",6,2,"0,1",0,0,"2,59","2,59",34,9,7,3,9,3,1,9
- - -,Seg,Pesca,ME/MP (DI),0 (8),204,76,60,7,5,0,0,0,7,28,9,"25,0 km","12,79",2,2,0,0,3,"3,53","17,21",3,0,0,0,0,"0,1","0,1",16,9,2,0,9,0,0,2
- - -,,Javi Navarro,"MC, ME (C)",19 (6),1.524,875,782,50,9,3,"1,66",5,2,149,43,"204,8 km","8,33",21,6,0,0,22,"12,05","7,85",2,0,"0,06",0,0,"0,1","0,1",74,4,37,1,4,1,0,22
- - -,,Óscar Arroyo,"DF (DC), CR (D)",34,3.060,1.195,1.033,135,49,5,"3,21",2,58,359,94,"419,5 km","10,85",36,24,2,0,81,"12,82","17,74",1,0,"0,03",0,1,"0,03","0,03",149,205,70,30,205,30,2,29
- - -,Pet,Pablo Sáenz,"ME (I), MP (DI), DL (C)",7 (7),807,248,212,15,12,0,"0,17",1,21,79,21,"99,8 km","8,25",13,14,0,0,16,"2,01","21,64",15,8,"0,56",1,0,"3,18","3,18",73,72,12,9,32,6,3,5
- - -,Seg,Fran Reguera,"MC, ME (C)",1 (16),553,315,274,30,7,0,1,4,3,57,13,"78,6 km","10,42",8,1,0,0,7,"12,53","4,56",3,2,"0,33",1,0,"0,12","0,12",26,3,13,0,3,0,0,9
- - -,,Javier Franco Santana,MP (DC),28,2.123,765,657,53,36,3,"2,9",6,56,261,56,"296,1 km","11,53",24,30,1,0,38,"5,43","20,01",28,11,"0,38",1,0,"2,96","2,96",146,172,19,23,70,10,4,31
- - -,,José Ángel Ayala,"MC, ME (C)",31,2.790,1.539,1.354,102,15,1,"2,85",4,24,299,84,"385,4 km","10,13",52,28,5,0,32,"8,55","8,48",17,2,"0,16",0,1,"1,21","1,21",161,12,103,3,12,3,1,26
- - -,,Garci,"ME (DI), MP (D)",31 (1),2.789,982,805,78,31,3,"3,04",8,100,287,71,"382,3 km","13,23",37,39,4,0,55,"3,42","16,3",41,19,"0,29",4,0,"4,78","4,78",181,162,50,18,162,18,5,39
- - -,,Pepo Losfablos,"MC, ME (C)",31,2.535,1.369,1.197,116,38,1,"3,46",5,24,324,72,"344,1 km","8,34",20,13,2,1,42,"12,5","14,13",12,4,"0,07",2,0,"1,79","1,79",126,24,38,4,18,4,1,30
- - -,,Christian Jiménez,DF (DI),22 (1),1.788,902,772,103,17,0,"1,2",1,19,131,43,"244,9 km","11,63",30,15,8,1,38,"11,12","20,74",4,0,"0,1",0,0,"0,06","0,06",111,52,62,6,52,6,1,23
- - -,,Dani Villa,"MP (DIC), DL (C)",3 (24),653,190,161,8,7,1,"0,19",1,7,49,11,"87,7 km","7,03",9,9,1,0,10,"1,38","13,51",29,9,"0,83",2,2,"3,64","3,64",67,12,10,3,12,3,3,9
- - -,Ret,Armiche,"ME (D), MP (DI)",1 (2),169,60,48,3,2,0,"0,2",1,1,15,1,"22,9 km","9,05",1,4,1,0,1,"4,79","15,44",1,0,0,0,0,"0,24","0,24",16,3,3,0,3,0,0,1
- - -,,Mikel Carro,DF (C),31,2.711,1.558,1.293,90,5,1,"0,61",5,3,94,32,"325,2 km","3,55",18,6,7,0,33,"12,88","3,62",13,3,"0,13",0,0,"1,59","1,59",286,4,201,0,4,0,0,43
- - -,,Javi Fontán,DF/CR (D),28,2.405,1.225,1.058,145,21,0,"4,35",6,25,207,55,"313,2 km","10,55",33,16,15,1,62,"12,2","13,1",34,6,"0,41",1,0,"4,81","4,81",177,213,106,44,145,35,2,24
- - -,,Gianni Cassaro,POR,6 (2),676,153,105,0,0,0,0,0,0,0,0,"38,9 km",0,0,1,0,0,0,"2,4","8,92",0,-,-,0,-,0,0,-,-,-,-,-,-,0,6
- - -,,Gabriel,"MP (DI), DL (C)",32,2.404,616,535,15,16,3,"3,85",4,27,150,49,"301,3 km","5,24",33,75,2,0,21,"2,36","18,38",51,22,"0,64",10,1,"5,51","4,7",314,21,54,4,21,4,15,33
- - -,,Luis Fratelli,DF (C),31,2.790,1.634,1.363,101,12,0,"0,05",1,0,97,33,"347,0 km","4,9",16,9,2,0,38,"14,32","3,52",13,2,"0,1",0,0,"1,85","1,85",243,3,149,2,3,2,2,40
- - -,,Rodrigo Gui,ME/MP (C),34,2.595,895,764,56,29,0,"1,08",2,30,266,68,"317,8 km","8,6",11,23,0,0,42,"11,86","16,44",36,15,"0,1",1,0,"3,64","3,64",191,27,36,2,27,2,3,31
- - -,,Álvaro Naveira,DF/CR (I),32,2.803,1.476,1.261,180,21,4,"2,62",9,42,216,61,"400,5 km","13,45",23,35,4,0,74,"14,93","14,87",10,1,"0,1",0,0,"0,89","0,89",164,121,86,20,121,20,2,45
- - -,,Jagoba Zárraga,POR,2 (4),328,80,36,0,0,0,0,0,0,0,0,"19,2 km",0,0,3,0,0,0,"1,37","9,88",0,-,-,0,-,0,0,-,-,-,-,-,-,0,2
- - -,,Jaime Sancho,"MP (C), DL (C)",0 (29),990,279,236,11,17,0,"0,43",1,8,76,23,"124,3 km","5,36",16,25,4,0,4,"1,45","12,91",50,23,"1,09",5,0,"4,74","4,74",126,55,21,6,11,2,6,11
- - -,,Pablo Bernárdez,ME (C),31,2.199,1.086,931,82,41,4,"4,26",8,22,248,64,"304,8 km","7,57",27,23,2,1,41,"11,3","16,21",5,1,"0,08",0,0,"0,26","0,26",101,28,20,7,28,7,1,28
- - -,,Marcos Rosa,MP (I),0 (3),66,20,19,1,1,0,"0,04",1,3,6,1,"8,2 km",-,1,0,0,0,2,-,-,2,0,-,0,0,"0,43","0,43",4,4,0,1,4,1,1,0
- - -,,Samuel Casais,ME (DC),0 (4),86,35,31,2,2,0,"0,02",0,2,13,4,"12,6 km","15,7",1,1,0,0,1,"5,23","15,7",1,0,"1,05",0,0,"0,01","0,01",5,3,1,0,3,0,0,0
- - -,,Antonio Pelegrín,DF (C),34,3.041,1.728,1.529,98,25,2,"2,54",5,10,289,83,"417,0 km","8,82",46,15,11,0,47,"9,62","8,97",13,2,"0,15",1,0,"2,53","2,53",127,16,65,1,16,1,2,47
- - -,,Nono Gómez,POR,5 (2),567,139,75,0,0,0,0,0,0,0,0,"32,1 km",0,1,2,1,0,0,"3,65","7,46",0,-,-,0,-,0,0,-,-,-,-,-,-,0,9
- - -,,Óscar Cantarero,ME/MP (I),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Carlos Tobar,DL (C),32,2.165,551,470,17,17,1,"2,64",2,21,128,40,"272,9 km","5,2",26,50,1,1,24,"1,25","23,53",30,11,"0,62",3,0,"1,99","1,99",308,18,86,1,18,1,15,24
- - -,Ced,Eliott Barrios,"MP (DI), DL (C)",0 (8),233,71,64,4,2,0,0,0,7,24,5,"29,5 km","7,34",4,6,0,0,2,"0,39","40,94",4,2,"0,39",2,0,"0,21","0,21",23,7,9,1,7,1,2,2
- - -,,Marc Bombardó,DF (C),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Xavi Espart,"DF/CR (D), MC, ME (C)",2 (1),170,96,84,8,3,0,"0,2",0,1,17,4,"25,5 km",9,2,2,1,0,3,"12,71","5,29",1,1,0,0,0,"0,2","0,2",5,0,5,0,0,0,0,2
- - -,,Javi Eslava,"MP (DI), DL (C)",32,2.668,989,847,71,45,4,"4,02",8,86,281,81,"355,5 km","9,68",36,33,2,0,45,"3,17","25,6",62,16,"0,81",4,1,"6,99","6,99",179,167,51,23,167,23,11,22
- - -,,Jon Altamira,POR,26,1.962,483,289,0,2,0,0,0,0,0,0,"123,7 km",0,0,4,0,0,0,"3,49","7,2",0,-,-,0,-,0,0,-,-,-,-,-,-,0,21
- - -,,Quicala Bari,ME/MP (I),0 (10),289,100,91,12,5,0,"0,29",1,8,36,9,"39,4 km","12,46",7,5,2,0,2,"2,8","14,95",8,3,"0,31",1,0,"0,61","0,61",22,10,0,0,10,0,2,2
- - -,Pet,Unai Buján,MP (DI),13 (14),1.243,434,374,40,29,4,"2,03",3,34,139,41,"175,3 km","12,96",14,14,0,0,14,"1,95","20,35",13,6,"0,14",2,0,"1,94","1,94",95,67,33,9,67,9,5,17
- - -,,David Pons,DF/CR (I),29,2.426,1.275,1.082,147,32,1,"2,35",1,30,210,53,"332,9 km","13,43",38,26,6,0,64,"11,87","15,32",6,0,"0,15",0,0,"0,46","0,46",181,101,112,17,101,17,3,33
- - -,,Rimvydas Kiriejevas,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Juan Parapar,MP (IC),25,1.709,570,480,29,15,2,"1,38",1,25,172,33,"237,4 km","9,22",19,26,1,0,26,"7,06","17,54",30,10,"0,47",4,1,"4,65","4,65",164,97,59,7,14,2,6,29
- - -,,Samu Calera,DF/CR (I),0 (2),106,55,43,8,1,0,0,0,1,9,1,"14,6 km","10,19",1,1,0,1,2,"11,89","11,89",1,0,0,0,0,"0,06","0,06",7,5,4,1,5,1,0,0
- - -,,Gabri Palmás,ME/MP (D),31,2.258,922,774,62,46,3,"2,87",7,85,267,73,"319,4 km","12,24",26,30,0,0,31,"4,78","14,91",54,21,"0,56",10,0,"6,11","6,11",148,130,42,19,130,19,8,34
- - -,,Borja Aizpun,DF/CR (D),19,1.476,744,634,78,16,1,"0,17",1,18,104,26,"210,2 km","14,63",13,26,4,0,32,"12,5","15,91",14,3,"0,24",0,0,"1,13","1,13",108,67,50,11,67,11,0,20
- - -,,Steven Prieto,"MP (C), DL (C)",4 (18),849,228,189,12,11,3,"1,44",1,10,69,11,"118,8 km","7,1",8,31,0,0,12,"2,12","21,2",34,19,"1,17",6,0,"4,02","4,02",115,8,55,0,8,0,5,16
- - -,,Javier Ablanque,DF (C),31,2.790,1.718,1.460,129,21,3,"1,54",8,3,91,38,"351,6 km","4,81",19,3,2,0,40,"15,94","3,94",13,2,"0,13",0,0,"1,39","1,39",227,59,134,3,9,1,0,32
- - -,,Adrián Escudero,DF (IC),23 (1),1.836,1.085,944,75,5,1,"0,67",5,2,64,17,"224,7 km","4,71",19,3,5,0,27,"15,25","3,24",9,1,"0,15",0,1,1,1,151,8,112,2,8,2,0,25
- - -,Pet,Diego López,DF (C),19,1.696,973,810,62,5,0,"0,27",0,1,59,26,"203,7 km","3,98",18,5,0,0,22,"7,64","5,41",4,1,0,0,0,"0,72","0,72",169,3,123,0,3,0,0,14
- - -,,Mario Ramón,DF (DC),1 (17),402,234,205,18,0,0,0,0,0,24,7,"54,4 km","7,16",3,1,2,0,3,"9,85","6,94",0,-,0,0,0,0,0,38,3,32,0,3,0,0,4
- - -,,Javi Varela,"ME (DC), MP (D)",29 (4),2.695,1.053,905,92,65,2,"4,2",3,83,299,80,"362,1 km","10,55",19,53,2,0,36,"4,51","20,47",38,17,"0,37",5,0,"3,41","3,41",207,153,102,20,153,20,8,26
- - -,,Marc Trilles,DF (C),38,3.407,2.168,1.946,163,13,0,"1,55",2,4,120,35,"411,9 km","5,02",42,15,12,1,67,"21,03","2,8",19,5,"0,21",1,0,"1,38","1,38",254,4,173,0,4,0,1,50
- - -,,Manex Iradi,ME/MP (I),32,2.438,808,696,53,38,1,"3,32",7,79,281,76,"323,6 km","9,41",39,38,1,1,42,"4,98","18,16",31,10,"0,33",6,0,"2,84","2,84",199,164,44,20,101,12,7,35
- - -,,Pablo Monroy,DF/CR (D),6 (10),783,422,367,49,10,0,"1,27",1,8,56,24,"106,0 km","13,33",11,7,3,0,9,"8,28","21,26",5,1,0,0,0,"0,84","0,84",61,32,40,10,32,10,1,6
- - -,,Diego Moreno,DF (I),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Genís Blasco,DF (I),34,2.985,1.520,1.277,165,28,4,"2,39",5,37,233,83,"422,2 km","13,75",32,32,6,1,80,"12,36","15,14",7,0,"0,09",0,0,"0,9","0,9",206,90,132,15,90,15,3,48
- - -,,Mini,"DF (D), MC, ME (DC)",25 (4),2.275,1.173,981,129,25,4,"1,85",2,16,192,63,"303,0 km","12,42",31,21,4,0,50,"9,53","14,68",15,3,"0,24",0,1,"2,04","2,04",163,90,81,8,90,8,0,28
- - -,,Nando Copete,DL (C),1 (6),348,93,69,1,1,0,"0,13",0,3,16,5,"31,2 km","3,88",4,7,0,0,3,"0,78","12,41",11,4,"0,78",1,0,"1,53","1,53",35,1,12,1,1,1,2,3
- - -,,Sergio Montes,DF (DC),30,2.700,1.409,1.179,141,37,1,"0,29",1,5,194,68,"359,4 km","10,9",31,22,8,0,54,"8,83","15,83",26,3,"0,23",1,0,"3,28","3,28",176,102,106,33,102,33,2,24
- - -,,Chupo,DF/CR (I),29,2.243,1.150,953,139,18,3,"6,77",13,15,165,47,"298,4 km","13,12",30,18,2,0,56,"11,07","10,83",10,3,"0,16",0,0,"0,58","0,58",151,210,85,24,82,18,1,28
- - -,,Yeray Izquierdo,DF (C),29,2.472,1.440,1.246,96,7,2,"1,39",2,3,76,27,"297,7 km","4,77",18,7,2,1,45,17,"3,31",8,1,"0,11",0,0,"0,63","0,63",240,2,157,1,2,1,1,34
- - -,,Diego Garzón,DF/CR (D),28,2.480,1.315,1.107,164,32,0,"2,89",6,43,185,61,"334,6 km","10,81",20,20,3,1,65,"11,58","18,29",25,7,"0,29",2,1,"2,38","2,38",197,99,118,13,99,13,2,30
- - -,,Willy,"MC, ME (C)",31,2.300,1.132,981,90,44,2,"2,72",6,18,272,82,"305,0 km","8,53",23,14,6,0,31,"10,68","12,99",15,4,"0,08",1,0,"2,96","2,96",150,25,54,4,25,4,2,20
- - -,,Hugo Terés,ME (C),34,2.101,1.039,919,85,38,3,"1,44",1,16,256,65,"283,8 km","7,37",26,14,3,0,30,"11,18","13,24",4,1,0,0,0,"0,49","0,49",137,27,40,4,27,4,3,29
- - -,Fic,Óscar Gil,"MP (C), DL (C)",0 (4),54,16,14,0,0,0,0,0,0,4,0,"3,5 km",-,0,1,0,0,1,-,-,2,1,-,1,0,"0,22","0,22",5,0,1,0,0,0,0,1
- - -,,Manu Berrocal,DF/CR (I),2,180,95,83,12,2,0,"0,12",0,4,18,1,"26,3 km",14,3,0,1,0,6,"11,5","22,5",0,-,0,0,0,0,0,11,4,11,0,4,0,0,4
- - -,,Lander Olasagasti,POR,34,2.648,634,407,0,0,0,0,0,0,0,0,"145,8 km",0,0,11,0,0,0,"2,58","6,53",0,-,-,0,-,0,0,-,-,-,-,-,-,0,35
- - -,,Javier Borrego,"ME (I), MP (IC), DL (C)",31 (1),2.793,924,790,119,58,0,"1,71",9,79,292,93,"384,9 km","12,92",29,28,5,0,65,"2,48","17,14",23,9,"0,29",2,0,"2,59","2,59",186,150,44,24,150,24,6,32
- - -,,Sergio Montero,ME/MP (C),0 (5),127,63,55,5,2,1,"0,14",1,1,13,5,"14,3 km","4,96",2,0,0,0,0,"10,63","10,63",2,1,0,0,0,"0,2","0,2",9,2,0,0,2,0,0,5
- - -,,Vicent Abril,POR,4 (1),383,100,58,0,0,0,0,0,0,0,0,"25,7 km",0,0,4,0,0,0,"2,35","6,81",0,-,-,0,-,0,0,-,-,-,-,-,-,0,9
- - -,,Leo Vázquez,DF/CR (I),6 (10),734,397,336,54,8,0,0,0,11,51,15,"102,7 km","14,59",11,4,1,0,13,"8,34","14,59",1,0,0,0,0,"0,04","0,04",50,32,26,5,32,5,2,9
- - -,Ret,Davo,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
- - -,,Alberto Fernández,"MP (C), DL (C)",35,3.034,754,646,25,26,5,"4,25",2,33,182,36,"380,2 km","6,11",39,91,5,0,25,"1,45","20,32",63,30,"0,65",8,1,"6,61","6,61",406,24,60,1,24,1,17,37
- - -,Seg,Alejandro Ibarrondo,ME/MP (D),14 (3),1.290,454,375,32,17,0,"1,87",5,54,142,39,"177,3 km","9,56",17,21,1,0,17,"3,28","19,19",40,15,"0,49",3,1,"5,64","5,64",103,68,34,10,68,10,6,13
- - -,,Ato,ME (C),5 (12),864,432,378,41,20,1,"0,72",2,5,117,29,"115,6 km","8,12",4,2,1,0,13,"11,04","14,06",7,1,"0,21",0,0,"1,51","1,51",32,3,8,0,3,0,0,11
- - -,Les,Binké Diabaté,DL (C),29 (1),1.954,462,395,7,10,3,"1,97",2,30,114,29,"242,9 km","5,02",41,55,2,0,27,"0,97","19,21",56,35,"0,55",9,0,"8,16","7,35",224,16,32,0,16,0,18,22
- - -,,Gorka Marcos,ME (C),31,2.684,1.295,1.136,125,54,8,"8,77",15,17,340,81,"343,5 km","8,48",39,15,5,0,53,"14,65","14,96",21,3,"0,1",0,0,"1,88","1,88",150,36,34,12,29,10,2,43
- - -,,Cristian Abreu,"DF (C), MC, ME (C)",36,3.100,1.994,1.733,137,21,2,"2,93",7,1,128,52,"362,8 km","4,15",25,6,9,0,46,"22,01","2,87",21,6,"0,09",1,0,"2,63","2,63",314,74,188,6,3,1,1,62
- - -,Ret,Asiel,DF (C),4 (10),785,443,354,26,4,0,"0,52",0,0,30,9,"98,1 km","4,47",4,1,1,0,12,"11,46","4,36",2,1,0,0,0,"0,19","0,19",76,2,55,0,2,0,0,7
- - -,,Joselu Guerra,"DF (C), MC, ME (C)",31,2.533,1.491,1.328,109,35,1,"4,7",5,7,262,61,"354,5 km","9,2",20,5,1,0,40,"14,39","6,08",10,1,"0,04",0,0,"1,48","1,48",113,11,37,5,11,5,2,38
- - -,Seg,Camilo,ME/MP (C),25 (7),2.388,913,769,40,25,3,"1,81",3,31,245,52,"337,6 km","9,76",19,26,2,0,35,"9,91","16,13",59,22,"0,75",5,0,"5,91","5,91",197,17,48,2,17,2,4,28
- - -,,Dani García,"MC, ME (C)",13 (10),1.387,800,676,54,11,2,"1,93",4,13,152,40,"202,9 km","11,49",15,10,0,0,29,"12,85","5,58",11,2,"0,26",1,0,"1,49","1,49",52,5,20,1,5,1,0,18
- - -,,Juanmita,"ME (D), MP (DI)",33 (1),2.251,782,676,70,44,3,"2,79",4,76,282,94,"296,4 km","11,31",34,41,1,0,40,"4,12","18,51",23,9,"0,36",5,1,"2,51","2,51",175,122,22,24,122,24,6,34
- - -,,Pol Ballesté,POR,12 (1),1.135,255,112,0,0,0,0,0,0,0,0,"64,7 km",0,0,4,0,0,0,"2,3","11,74",0,-,-,0,-,0,0,-,-,-,-,-,-,0,10
- - -,,Álvaro Coque,DF/CR (I),29,2.610,1.404,1.177,183,36,3,"2,68",4,26,218,76,"349,2 km","12,9",31,29,4,0,70,"10,66","15,97",7,3,"0,1",1,0,"0,47","0,47",195,173,143,26,126,22,3,22
- - -,,Adri Peral,"MC, ME (C)",3 (16),509,246,210,16,3,3,"0,61",1,1,45,8,"53,1 km","6,01",5,5,2,0,5,"7,6","4,77",2,0,0,0,0,"0,34","0,34",27,1,6,0,1,0,0,8
